10万补充ETF计划	总市值	38703.35	累计收益	2885.45
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
建信中证500指数增强A	000478	1.9252	4157.52	8568.23	564.23
广发中证环保ETF联接A	001064	0.5489	9722	5728.2	392.2
广发养老指数A	000968	0.9444	4943.96	4960.28	291.28
华夏中证500ETF联接A	001052	0.5423	7379.54	4294.89	292.89
富国中证红利指数增强	100032	1.0919	3665.01	4225.76	223.76
广发中证传媒ETF联接A	004752	0.7329	4550.55	3796.07	461.07
易方达创业板ETF联接A	110026	1.6649	400.63	742.89	75.89
广发创业板ETF联接A	003765	0.9059	736.3	739.76	72.76
广发医药卫生联接A	001180	0.8242	809.28	696.06	29.06
易方达证券公司分级	502010	0.9853	473.85	526.16	59.26
华宝标普石油指数	162411	0.3775	5299.96	2172.98	171.98
交银中证海外中国互联网指数	164906	1.1564	576.8	785.02	118.02
华夏恒生ETF联接A	000071	1.451	459.67	724.99	57.99
华安德国30(DAX)联接	000614	1.0903	611.75	742.05	75.05
