我的S定投计划	总市值	16202.03	累计收益	1202.03
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
建信中证500指数增强A	000478	1.9107	1046.73	2157.21	157.21
富国中证红利指数增强	100032	1.0954	1825.9	2105.26	105.26
华夏上证50ETF联接A	001051	0.9441	1059.17	1106.83	106.83
华夏中证500ETF联接A	001052	0.5517	1812.7	1054.99	54.99
广发中证传媒ETF联接A	004752	0.815	1227.03	1023.59	23.59
交银中证海外中国互联网指数	164906	1.1113	899.82	1224.65	224.66
华夏恒生ETF联接A	000071	1.4513	689.02	1086.72	86.72
华安黄金易ETF联接A	000216	1.0902	1834.47	2286.85	286.85
华宝标普石油指数	162411	0.4204	4757.9	1950.74	-49.26
华安德国30(DAX)联接	000614	1.0483	953.96	1157.15	157.15
易方达安心债券A	110027	1.6793	595.47	1048.03	48.03
