	名称	代码	市值（亿元）	涨跌幅	pe	pb	一级行业代码	一级行业名称	二级行业代码	二级行业名称	持有市值（元）	日盈亏	相关指数
0	中国平安	601318.XSHG	15285.94	-0.92%	9.7	2.38	801790	非银金融I	801194	保险II	9872.79	-90.83	上证50,沪深300,300价值,养老产业,金融地产
1	恒瑞医药	600276.XSHG	3799.2	-4.21%	77.72	16.41	801150	医药生物I	801151	化学制药II	9809.9	-413.0	上证50,沪深300,养老产业,全指医药
2	东方财富	300059.XSHE	930.11	0.65%	59.92	4.48	801760	传媒I	801752	互联网传媒II	6836.58	44.44	沪深300,创业板,养老产业,中证传媒
3	中信证券	600030.XSHG	2594.23	-0.46%	20.59	1.62	801790	非银金融I	801193	证券II	6484.64	-29.83	上证50,沪深300,证券公司,金融地产
4	招商银行	600036.XSHG	9086.71	-1.64%	10.05	1.62	801780	银行I	801192	银行II	4930.22	-80.86	上证50,沪深300,300价值,中证红利,金融地产
5	海通证券	600837.XSHG	1580.33	0.15%	17.54	1.27	801790	非银金融I	801193	证券II	4474.47	6.71	上证50,沪深300,证券公司,金融地产
6	分众传媒	002027.XSHE	821.96	0.0%	34.63	6.1	801760	传媒I	801751	营销传播II	4175.83	0.0	沪深300,基本面60,基本面120,中证传媒
7	兴业银行	601166.XSHG	3924.24	-0.42%	6.04	0.83	801780	银行I	801192	银行II	4085.7	-17.16	上证50,沪深300,300价值,中证红利,金融地产
8	启明星辰	002439.XSHE	276.18	1.15%	50.42	7.77	801750	计算机I	801222	计算机应用II	3698.51	42.53	中证500,养老产业,中证传媒
9	贵州茅台	600519.XSHG	14182.47	-3.98%	34.65	11.32	801120	食品饮料I	801123	饮料制造II	3693.11	-146.99	上证50,沪深300
10	温氏股份	300498.XSHE	1901.74	-0.11%	26.63	5.11	801010	农林牧渔I	801017	畜禽养殖II	3635.59	-4.0	沪深300,基本面60,基本面120,创业板
11	爱尔眼科	300015.XSHE	1236.65	-4.54%	91.94	19.19	801150	医药生物I	801156	医疗服务II	3502.74	-159.02	沪深300,创业板,养老产业,全指医药
12	中国神华	601088.XSHG	3423.0	-0.17%	7.49	0.99	801020	采掘I	801021	煤炭开采II	3303.95	-5.62	上证50,沪深300,300价值,中证红利
13	光环新网	300383.XSHE	295.36	0.52%	36.76	3.63	801770	通信I	801102	通信设备II	3236.55	16.83	中证500,创业板,养老产业,中证传媒
14	长春高新	000661.XSHE	746.79	-5.33%	53.02	11.64	801150	医药生物I	801152	生物制品II	3173.83	-169.17	沪深300,养老产业,全指医药
15	国泰君安	601211.XSHG	1488.52	0.48%	19.23	1.25	801790	非银金融I	801193	证券II	3068.19	14.73	上证50,沪深300,300价值,证券公司,金融地产
16	生益科技	600183.XSHG	521.48	0.44%	42.3	6.27	801080	电子I	801083	元件II	2906.67	12.79	中证500,中证红利
17	沃森生物	300142.XSHE	464.31	-1.72%	43.17	9.62	801150	医药生物I	801152	生物制品II	2869.75	-49.36	沪深300,创业板,养老产业,全指医药
18	乐普医疗	300003.XSHE	574.94	-4.44%	34.07	7.7	801150	医药生物I	801153	医疗器械II	2756.74	-122.4	沪深300,创业板,养老产业,全指医药
19	二三四五	002195.XSHE	174.27	1.0%	17.12	1.74	801750	计算机I	801222	计算机应用II	2593.41	25.93	中证500,养老产业,中证传媒
20	交通银行	601328.XSHG	4091.88	-0.54%	5.35	0.61	801780	银行I	801192	银行II	2560.53	-13.83	上证50,沪深300,300价值,中证红利,金融地产
21	新希望	000876.XSHE	867.23	-1.58%	26.08	3.6	801010	农林牧渔I	801014	饲料II	2520.6	-39.83	沪深300,基本面60,基本面120,中证红利
22	新和成	002001.XSHE	457.67	-0.47%	20.36	2.79	801150	医药生物I	801151	化学制药II	2502.21	-11.76	沪深300,基本面120,中证红利,养老产业,全指医药
