10万补充ETF计划	总市值	33994.59	累计收益	364.45
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
建信中证500指数增强A	000478	1.9239	3813.64	7442.7	105.7
广发中证环保ETF联接A	001064	0.5489	9722	5224.6	-111.4
广发养老指数A	000968	0.9444	4943.96	4681.44	12.44
华夏中证500ETF联接A	001052	0.5423	7379.54	4029.23	27.23
广发中证传媒ETF联接A	004752	0.7329	4550.55	3425.2	90.2
富国中证红利指数增强	100032	1.0914	3055.68	3358.19	23.19
广发创业板ETF联接A	003765	0.9059	736.3	694.85	27.85
易方达创业板ETF联接A	110026	1.6649	400.63	694.17	27.17
易方达证券公司分级	502010	0.9949	281.57	277.43	-2.71
华宝标普石油指数	162411	0.3776	5299.96	2013.98	12.98
交银中证海外中国互联网指数	164906	1.1564	576.8	729.08	62.08
华夏恒生ETF联接A	000071	1.451	459.67	694.52	27.52
华安德国30(DAX)联接	000614	1.0903	611.75	729.21	62.21
