	bonus_amount_rmb	report_date	code
0	233517.5946	2017-12-31	000001.XSHE
1		2016-06-30	000001.XSHE
2	271292.4996	2016-12-31	000001.XSHE
3		2017-06-30	000001.XSHE
4		2018-06-30	000001.XSHE
5	875177.688	2017-12-31	000002.XSHE
6		2016-06-30	000002.XSHE
7	872093.0081	2016-12-31	000002.XSHE
8		2017-06-30	000002.XSHE
9		2018-06-30	000002.XSHE
10		2016-06-30	000060.XSHE
11	6637.8838	2016-12-31	000060.XSHE
12	7139.3707	2017-06-30	000060.XSHE
13	59494.7555	2017-12-31	000060.XSHE
14		2018-06-30	000060.XSHE
15		2017-12-31	000063.XSHE
16		2016-06-30	000063.XSHE
17		2016-12-31	000063.XSHE
18		2017-06-30	000063.XSHE
19		2018-06-30	000063.XSHE
20	246122.4425	2017-12-31	000069.XSHE
21		2016-06-30	000069.XSHE
22	82056.8142	2016-12-31	000069.XSHE
23		2017-06-30	000069.XSHE
24		2018-06-30	000069.XSHE
25	135496.4851	2017-12-31	000100.XSHE
26		2016-06-30	000100.XSHE
27	97709.4539	2016-12-31	000100.XSHE
28		2017-06-30	000100.XSHE
29		2018-06-30	000100.XSHE
30	155880.9615	2017-12-31	000157.XSHE
31		2016-06-30	000157.XSHE
32	114379.3075	2016-12-31	000157.XSHE
33		2017-06-30	000157.XSHE
34		2018-06-30	000157.XSHE
35	112679.7228	2017-12-31	000166.XSHE
36		2016-06-30	000166.XSHE
37	200566.0572	2016-12-31	000166.XSHE
38		2017-06-30	000166.XSHE
39		2018-06-30	000166.XSHE
40		2016-06-30	000333.XSHE
41	646567.7368	2016-12-31	000333.XSHE
42		2017-06-30	000333.XSHE
43	790082.7089	2017-12-31	000333.XSHE
44		2018-06-30	000333.XSHE
45	39986.1928	2016-06-30	000338.XSHE
46	99965.482	2016-12-31	000338.XSHE
47	119958.5783	2017-06-30	000338.XSHE
48	199930.9639	2017-12-31	000338.XSHE
49	143736.13	2018-06-30	000338.XSHE
50	89667.8972	2017-12-31	000402.XSHE
51		2016-06-30	000402.XSHE
52	119557.1963	2016-12-31	000402.XSHE
53		2017-06-30	000402.XSHE
54		2018-06-30	000402.XSHE
55	40111.7508	2017-12-31	000413.XSHE
56		2016-06-30	000413.XSHE
57	34579.5029	2016-12-31	000413.XSHE
58		2017-06-30	000413.XSHE
59		2018-06-30	000413.XSHE
60	37107.1277	2017-12-31	000415.XSHE
61		2016-06-30	000415.XSHE
62	30922.6064	2016-12-31	000415.XSHE
63		2017-06-30	000415.XSHE
64		2018-06-30	000415.XSHE
65	58861.9383	2017-12-31	000423.XSHE
66		2016-06-30	000423.XSHE
67	58861.9383	2016-12-31	000423.XSHE
68		2017-06-30	000423.XSHE
69		2018-06-30	000423.XSHE
70	28030.9106	2017-12-31	000425.XSHE
71		2016-06-30	000425.XSHE
72	10511.5915	2016-12-31	000425.XSHE
73		2017-06-30	000425.XSHE
74		2018-06-30	000425.XSHE
75		2017-12-31	000503.XSHE
76		2016-06-30	000503.XSHE
77		2016-12-31	000503.XSHE
78		2017-06-30	000503.XSHE
79		2018-06-30	000503.XSHE
80	156209.9577	2017-12-31	000538.XSHE
81		2016-06-30	000538.XSHE
82	83311.9774	2016-12-31	000538.XSHE
83		2017-06-30	000538.XSHE
84		2018-06-30	000538.XSHE
85		2016-06-30	000540.XSHE
86	93931.3007	2016-12-31	000540.XSHE
87		2017-06-30	000540.XSHE
88	23488.3239	2017-12-31	000540.XSHE
89		2018-06-30	000540.XSHE
90		2016-06-30	000559.XSHE
91	22942.9955	2016-12-31	000559.XSHE
92		2017-06-30	000559.XSHE
93	55063.1891	2017-12-31	000559.XSHE
94		2018-06-30	000559.XSHE
95	183094.0595	2017-12-31	000568.XSHE
96		2016-06-30	000568.XSHE
97	134616.2377	2016-12-31	000568.XSHE
98		2017-06-30	000568.XSHE
99		2018-06-30	000568.XSHE
100	34883.0989	2017-12-31	000623.XSHE
101		2016-06-30	000623.XSHE
102	26833.153	2016-12-31	000623.XSHE
103		2017-06-30	000623.XSHE
104		2018-06-30	000623.XSHE
105	214198.1236	2017-12-31	000625.XSHE
106		2016-06-30	000625.XSHE
107	308330.0344	2016-12-31	000625.XSHE
108		2017-06-30	000625.XSHE
109		2018-06-30	000625.XSHE
110	4940.6292	2017-12-31	000627.XSHE
111		2016-06-30	000627.XSHE
112	10647.9864	2016-12-31	000627.XSHE
113		2017-06-30	000627.XSHE
114	14821.8875	2018-06-30	000627.XSHE
115	21053.0666	2017-12-31	000630.XSHE
116		2016-06-30	000630.XSHE
117		2016-12-31	000630.XSHE
118		2017-06-30	000630.XSHE
119		2018-06-30	000630.XSHE
120		2017-12-31	000651.XSHE
121		2016-06-30	000651.XSHE
122	1082831.558	2016-12-31	000651.XSHE
123		2017-06-30	000651.XSHE
124		2018-06-30	000651.XSHE
125	20250.3666	2017-12-31	000671.XSHE
126		2016-06-30	000671.XSHE
127	20250.3666	2016-12-31	000671.XSHE
128		2017-06-30	000671.XSHE
129		2018-06-30	000671.XSHE
130	106186.0785	2017-12-31	000709.XSHE
131		2016-06-30	000709.XSHE
132	84948.8628	2016-12-31	000709.XSHE
133		2017-06-30	000709.XSHE
134		2018-06-30	000709.XSHE
135		2017-12-31	000723.XSHE
136		2016-06-30	000723.XSHE
137	22810.7339	2016-12-31	000723.XSHE
138		2017-06-30	000723.XSHE
139	82807.562	2018-06-30	000723.XSHE
140	173991.9938	2017-12-31	000725.XSHE
141		2016-06-30	000725.XSHE
142	104657.8276	2016-12-31	000725.XSHE
143		2017-06-30	000725.XSHE
144		2018-06-30	000725.XSHE
145	50481.7057	2017-12-31	000728.XSHE
146	29461.5	2016-06-30	000728.XSHE
147	58923.0	2016-12-31	000728.XSHE
148		2017-06-30	000728.XSHE
149		2018-06-30	000728.XSHE
150	23533.4831	2017-12-31	000768.XSHE
151		2016-06-30	000768.XSHE
152	13843.2254	2016-12-31	000768.XSHE
153		2017-06-30	000768.XSHE
154		2018-06-30	000768.XSHE
155	236771.6586	2017-12-31	000776.XSHE
156		2016-06-30	000776.XSHE
157	207175.2012	2016-12-31	000776.XSHE
158		2017-06-30	000776.XSHE
159		2018-06-30	000776.XSHE
160	82942.0152	2017-12-31	000783.XSHE
161		2016-06-30	000783.XSHE
162	82942.0152	2016-12-31	000783.XSHE
163		2017-06-30	000783.XSHE
164		2018-06-30	000783.XSHE
165	63494.58	2017-12-31	000786.XSHE
166		2016-06-30	000786.XSHE
167	32194.4349	2016-12-31	000786.XSHE
168		2017-06-30	000786.XSHE
169		2018-06-30	000786.XSHE
170		2016-06-30	000792.XSHE
171	3714.7875	2016-12-31	000792.XSHE
172		2017-06-30	000792.XSHE
173		2017-12-31	000792.XSHE
174		2018-06-30	000792.XSHE
175	40873.6796	2017-12-31	000826.XSHE
176		2016-06-30	000826.XSHE
177	17085.9516	2016-12-31	000826.XSHE
178		2017-06-30	000826.XSHE
179		2018-06-30	000826.XSHE
180	19599.1318	2017-12-31	000839.XSHE
181		2016-06-30	000839.XSHE
182	19599.1318	2016-12-31	000839.XSHE
183		2017-06-30	000839.XSHE
184		2018-06-30	000839.XSHE
185	504609.0407	2017-12-31	000858.XSHE
186		2016-06-30	000858.XSHE
187	341637.0048	2016-12-31	000858.XSHE
188		2017-06-30	000858.XSHE
189		2018-06-30	000858.XSHE
190	63240.2251	2017-12-31	000876.XSHE
191		2016-06-30	000876.XSHE
192	210800.7505	2016-12-31	000876.XSHE
193		2017-06-30	000876.XSHE
194		2018-06-30	000876.XSHE
195	296960.2456	2016-06-30	000895.XSHE
196	395946.9941	2016-12-31	000895.XSHE
197		2017-06-30	000895.XSHE
198	362951.4112	2017-12-31	000895.XSHE
199		2018-06-30	000895.XSHE
200	167847.5421	2017-12-31	000898.XSHE
201		2016-06-30	000898.XSHE
202	48473.2126	2016-12-31	000898.XSHE
203		2017-06-30	000898.XSHE
204		2018-06-30	000898.XSHE
205	20846.0632	2017-12-31	000938.XSHE
206		2016-06-30	000938.XSHE
207	10423.0316	2016-12-31	000938.XSHE
208		2017-06-30	000938.XSHE
209		2018-06-30	000938.XSHE
210		2017-12-31	000959.XSHE
211		2016-06-30	000959.XSHE
212		2016-12-31	000959.XSHE
213		2017-06-30	000959.XSHE
214		2018-06-30	000959.XSHE
215	7419.5776	2017-12-31	000961.XSHE
216		2016-06-30	000961.XSHE
217	5564.6832	2016-12-31	000961.XSHE
218		2017-06-30	000961.XSHE
219		2018-06-30	000961.XSHE
220	69992.382	2017-12-31	000963.XSHE
221		2016-06-30	000963.XSHE
222	65617.8581	2016-12-31	000963.XSHE
223		2017-06-30	000963.XSHE
224		2018-06-30	000963.XSHE
225	12604.8	2017-12-31	000983.XSHE
226		2016-06-30	000983.XSHE
227	3466.32	2016-12-31	000983.XSHE
228		2017-06-30	000983.XSHE
229		2018-06-30	000983.XSHE
230	135302.8318	2017-12-31	001965.XSHE
231		2018-06-30	001965.XSHE
232		2016-06-30	001979.XSHE
233	395204.6361	2016-12-31	001979.XSHE
234		2017-06-30	001979.XSHE
235	490053.7488	2017-12-31	001979.XSHE
236		2018-06-30	001979.XSHE
237	27902.6304	2017-12-31	002007.XSHE
238		2016-06-30	002007.XSHE
239	37203.5072	2016-12-31	002007.XSHE
240		2017-06-30	002007.XSHE
241		2018-06-30	002007.XSHE
242	21341.3049	2017-12-31	002008.XSHE
243		2016-06-30	002008.XSHE
244	21341.3049	2016-12-31	002008.XSHE
245		2017-06-30	002008.XSHE
246		2018-06-30	002008.XSHE
247	93100.3966	2017-12-31	002024.XSHE
248		2016-06-30	002024.XSHE
249	65170.2776	2016-12-31	002024.XSHE
250		2017-06-30	002024.XSHE
251		2018-06-30	002024.XSHE
252	122315.669	2017-12-31	002027.XSHE
253		2016-06-30	002027.XSHE
254	356462.8068	2016-12-31	002027.XSHE
255		2017-06-30	002027.XSHE
256		2018-06-30	002027.XSHE
257	13006.529	2017-12-31	002044.XSHE
258		2016-06-30	002044.XSHE
259	3632.2241	2016-12-31	002044.XSHE
260		2017-06-30	002044.XSHE
261		2018-06-30	002044.XSHE
262	31804.7525	2017-12-31	002050.XSHE
263		2016-06-30	002050.XSHE
264	54044.2842	2016-12-31	002050.XSHE
265		2017-06-30	002050.XSHE
266	21203.1684	2018-06-30	002050.XSHE
267		2016-06-30	002065.XSHE
268	23548.4067	2016-12-31	002065.XSHE
269		2017-06-30	002065.XSHE
270	31397.8756	2017-12-31	002065.XSHE
271		2018-06-30	002065.XSHE
272		2016-06-30	002074.XSHE
273	13164.0	2016-12-31	002074.XSHE
274		2017-06-30	002074.XSHE
275	11366.5082	2017-12-31	002074.XSHE
276		2018-06-30	002074.XSHE
277		2016-06-30	002081.XSHE
278	39649.6303	2016-12-31	002081.XSHE
279		2017-06-30	002081.XSHE
280	39649.6303	2017-12-31	002081.XSHE
281		2018-06-30	002081.XSHE
282		2016-06-30	002085.XSHE
283	18223.9973	2016-12-31	002085.XSHE
284		2017-06-30	002085.XSHE
285	65606.3903	2017-12-31	002085.XSHE
286		2018-06-30	002085.XSHE
287		2016-06-30	002142.XSHE
288	136492.7928	2016-12-31	002142.XSHE
289		2017-06-30	002142.XSHE
290		2017-12-31	002142.XSHE
291		2018-06-30	002142.XSHE
292		2016-06-30	002146.XSHE
293	173926.554	2016-12-31	002146.XSHE
294		2017-06-30	002146.XSHE
295	182622.8817	2017-12-31	002146.XSHE
296		2018-06-30	002146.XSHE
297		2016-06-30	002153.XSHE
298	4267.155	2016-12-31	002153.XSHE
