	bonus_amount_rmb	report_date	code
0		2016-06-30	600000.XSHG
1	432365.5984	2016-12-31	600000.XSHG
2		2017-06-30	600000.XSHG
3	293520.804	2017-12-31	600000.XSHG
4		2018-06-30	600000.XSHG
5	339845.3475	2016-06-30	600016.XSHG
6	487604.1942	2016-12-31	600016.XSHG
7	354621.2321	2017-06-30	600016.XSHG
8	328368.1388	2017-12-31	600016.XSHG
9		2018-06-30	600016.XSHG
10		2016-06-30	600019.XSHG
11	464155.7954	2016-12-31	600019.XSHG
12		2017-06-30	600019.XSHG
13	1002056.1806	2017-12-31	600019.XSHG
14		2018-06-30	600019.XSHG
15	956462.5562	2016-06-30	600028.XSHG
16	2058210.564	2016-12-31	600028.XSHG
17	1210712.0965	2017-06-30	600028.XSHG
18	4842848.3858	2017-12-31	600028.XSHG
19	1937139.3543	2018-06-30	600028.XSHG
20		2016-06-30	600029.XSHG
21	98175.67	2016-12-31	600029.XSHG
22		2017-06-30	600029.XSHG
23	100881.7327	2017-12-31	600029.XSHG
24		2018-06-30	600029.XSHG
25		2016-06-30	600030.XSHG
26	424091.794	2016-12-31	600030.XSHG
27		2017-06-30	600030.XSHG
28	484676.336	2017-12-31	600030.XSHG
29		2018-06-30	600030.XSHG
30		2016-06-30	600036.XSHG
31	1526541.8877	2016-12-31	600036.XSHG
32		2017-06-30	600036.XSHG
33	2118467.0305	2017-12-31	600036.XSHG
34		2018-06-30	600036.XSHG
35		2016-06-30	600048.XSHG
36	373540.8934	2016-12-31	600048.XSHG
37		2017-06-30	600048.XSHG
38	474337.6424	2017-12-31	600048.XSHG
39		2018-06-30	600048.XSHG
40		2016-06-30	600050.XSHG
41		2016-12-31	600050.XSHG
42		2017-06-30	600050.XSHG
43	61435.0671	2017-12-31	600050.XSHG
44		2018-06-30	600050.XSHG
45		2016-06-30	600104.XSHG
46	1927771.1252	2016-12-31	600104.XSHG
47		2017-06-30	600104.XSHG
48	2138073.4298	2017-12-31	600104.XSHG
49		2018-06-30	600104.XSHG
50		2016-06-30	600111.XSHG
51	3633.066	2016-12-31	600111.XSHG
52		2017-06-30	600111.XSHG
53	12715.731	2017-12-31	600111.XSHG
54		2018-06-30	600111.XSHG
