	market_cap	code
0	3020.3291	600000.XSHG
1	2587.3721	600016.XSHG
2	1650.0525	600019.XSHG
3	7710.1504	600028.XSHG
4	640.5325	600029.XSHG
5	1726.1217	600030.XSHG
6	7166.4819	600036.XSHG
7	1293.8784	600048.XSHG
8	1576.2128	600050.XSHG
9	3238.6555	600104.XSHG
10	347.3211	600111.XSHG
11	2140.6038	600276.XSHG
12	990.2594	600309.XSHG
13	623.7754	600340.XSHG
14	8362.7598	600519.XSHG
15	518.9399	600547.XSHG
16	1866.5645	600585.XSHG
17	668.0317	600606.XSHG
18	830.4663	600690.XSHG
19	537.5364	600703.XSHG
20	1478.2894	600887.XSHG
21	517.2869999999999	600958.XSHG
22	732.5116	600999.XSHG
23	1167.0431	601006.XSHG
24	3896.6914	601088.XSHG
25	3157.677	601166.XSHG
26	1213.6073	601169.XSHG
27	1433.5382	601186.XSHG
28	1199.759	601211.XSHG
29	1255.6385	601229.XSHG
30	12992.3086	601288.XSHG
31	11763.9395	601318.XSHG
32	3909.5012	601328.XSHG
33	1307.6636	601336.XSHG
34	1474.5639999999999	601360.XSHG
35	1698.8139999999999	601390.XSHG
36	18604.3652	601398.XSHG
37	2787.1859999999997	601601.XSHG
38	5560.5049	601628.XSHG
39	2145.4424	601668.XSHG
40	1088.354	601688.XSHG
41	2250.5659	601766.XSHG
42	1816.3945	601800.XSHG
43	1914.2109	601818.XSHG
44	15844.2949	601857.XSHG
45	196.6667	601878.XSHG
46	498.6918	601881.XSHG
47	9857.5342	601988.XSHG
48	922.0557	601989.XSHG
49	745.4505	603993.XSHG
