10万补充ETF计划	总市值	41277.14	累计收益	-207.71
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
建信中证500指数增强A	000478	1.9252	4157.52	8032.74	28.74
广发中证环保ETF联接A	001064	0.5489	9722	5412.24	76.24
广发养老指数A	000968	0.9444	4943.96	4818.38	149.38
华夏中证500ETF联接A	001052	0.5423	7379.54	4105.24	103.24
富国中证红利指数增强A	100032	0.9822	4074.72	3822.09	-179.91
广发中证传媒ETF联接A	004752	0.7329	4550.55	3562.17	227.17
广发医药卫生联接A	001180	0.8242	809.28	736.44	69.44
广发中证全指金融地产联接A	001469	1.0907	611.53	605.41	-61.59
易方达证券公司分级	502010	0.9853	473.85	475.75	8.85
易方达创业板ETF联接A	110026	0	0	0	180.24
广发创业板ETF联接A	003765	0	0	0	155.81
华安德国30(DAX)联接	000614	0.9648	4147.87	4135.43	133.43
博时标普500ETF联接A	050025	1.9457	342.8	717.21	50.21
华夏恒生ETF联接A	000071	1.3485	1483.88	1964.21	-36.79
交银中证海外中国互联网指数	164906	1.1564	576.8	738.88	71.88
华宝标普石油指数A	162411	0.3775	5299.96	941.8	-1059.2
华安标普石油指数	160416	0.6498	1026.5	721.63	54.63
南方原油A	501018	0.7171	930.19	487.51	-179.49
