code	display_name	date	weight
002673.XSHE	西部证券	2018-09-30	0.342
000627.XSHE	天茂集团	2018-09-30	0.234
002670.XSHE	国盛金控	2018-09-30	0.2
600705.XSHG	中航资本	2018-09-30	0.493
600816.XSHG	安信信托	2018-09-30	0.297
000011.XSHE	深物业A	2018-09-30	0.045
600895.XSHG	张江高科	2018-09-30	0.191
601229.XSHG	上海银行	2018-09-30	1.583
601878.XSHG	浙商证券	2018-09-30	0.061
600000.XSHG	浦发银行	2018-09-30	3.001
000797.XSHE	中国武夷	2018-09-30	0.077
600649.XSHG	城投控股	2018-09-30	0.179
600643.XSHG	爱建集团	2018-09-30	0.246
600641.XSHG	万业企业	2018-09-30	0.122
600067.XSHG	冠城大通	2018-09-30	0.101
600064.XSHG	南京高科	2018-09-30	0.159
000732.XSHE	泰禾集团	2018-09-30	0.192
600061.XSHG	国投资本	2018-09-30	0.184
601988.XSHG	中国银行	2018-09-30	1.852
601555.XSHG	东吴证券	2018-09-30	0.378
000631.XSHE	顺发恒业	2018-09-30	0.062
600999.XSHG	招商证券	2018-09-30	0.742
601398.XSHG	工商银行	2018-09-30	2.904
601788.XSHG	光大证券	2018-09-30	0.503
600155.XSHG	华创阳安	2018-09-30	0.084
601901.XSHG	方正证券	2018-09-30	0.607
600094.XSHG	大名城	2018-09-30	0.185
000783.XSHE	长江证券	2018-09-30	0.484
600016.XSHG	民生银行	2018-09-30	4.191
600015.XSHG	华夏银行	2018-09-30	1.23
601318.XSHG	中国平安	2018-09-30	11.032
600390.XSHG	五矿资本	2018-09-30	0.1
600657.XSHG	信达地产	2018-09-30	0.08
600393.XSHG	粤泰股份	2018-09-30	0.07
600466.XSHG	蓝光发展	2018-09-30	0.159
000402.XSHE	金融街	2018-09-30	0.206
000537.XSHE	广宇发展	2018-09-30	0.119
601997.XSHG	贵阳银行	2018-09-30	0.406
601998.XSHG	中信银行	2018-09-30	0.453
000926.XSHE	福星股份	2018-09-30	0.137
600376.XSHG	首开股份	2018-09-30	0.216
000686.XSHE	东北证券	2018-09-30	0.213
601628.XSHG	中国人寿	2018-09-30	0.911
600708.XSHG	光明地产	2018-09-30	0.11
600383.XSHG	金地集团	2018-09-30	0.511
000036.XSHE	华联控股	2018-09-30	0.103
600909.XSHG	华安证券	2018-09-30	0.232
600908.XSHG	无锡银行	2018-09-30	0.131
000031.XSHE	中粮地产	2018-09-30	0.148
600266.XSHG	北京城建	2018-09-30	0.201
601155.XSHG	新城控股	2018-09-30	0.58
600663.XSHG	陆家嘴	2018-09-30	0.277
601099.XSHG	太平洋	2018-09-30	0.381
000918.XSHE	嘉凯城	2018-09-30	0.106
600048.XSHG	保利地产	2018-09-30	2.162
002285.XSHE	世联行	2018-09-30	0.155
600208.XSHG	新湖中宝	2018-09-30	0.336
000750.XSHE	国海证券	2018-09-30	0.246
000617.XSHE	中油资本	2018-09-30	0.049
000615.XSHE	京汉股份	2018-09-30	0.073
600369.XSHG	西南证券	2018-09-30	0.255
002500.XSHE	山西证券	2018-09-30	0.266
600848.XSHG	上海临港	2018-09-30	0.163
600675.XSHG	中华企业	2018-09-30	0.182
600919.XSHG	江苏银行	2018-09-30	1.078
000046.XSHE	泛海控股	2018-09-30	0.29
600926.XSHG	杭州银行	2018-09-30	0.407
601169.XSHG	北京银行	2018-09-30	2.135
002839.XSHE	张家港行	2018-09-30	0.127
600568.XSHG	中珠医疗	2018-09-30	0.077
600565.XSHG	迪马股份	2018-09-30	0.105
601375.XSHG	中原证券	2018-09-30	0.11
600773.XSHG	西藏城投	2018-09-30	0.09
601166.XSHG	兴业银行	2018-09-30	4.652
000517.XSHE	荣安地产	2018-09-30	0.044
600053.XSHG	九鼎投资	2018-09-30	0.043
000987.XSHE	越秀金控	2018-09-30	0.047
601939.XSHG	建设银行	2018-09-30	1.307
000667.XSHE	美好置业	2018-09-30	0.143
002736.XSHE	国信证券	2018-09-30	0.511
601838.XSHG	成都银行	2018-09-30	0.088
600606.XSHG	绿地控股	2018-09-30	0.582
600604.XSHG	市北高新	2018-09-30	0.071
600162.XSHG	香江控股	2018-09-30	0.094
002807.XSHE	江阴银行	2018-09-30	0.122
600185.XSHG	格力地产	2018-09-30	0.129
601198.XSHG	东兴证券	2018-09-30	0.341
000728.XSHE	国元证券	2018-09-30	0.332
601009.XSHG	南京银行	2018-09-30	1.083
600823.XSHG	世茂股份	2018-09-30	0.159
000776.XSHE	广发证券	2018-09-30	0.988
000671.XSHE	阳光城	2018-09-30	0.243
002016.XSHE	世荣兆业	2018-09-30	0.062
002244.XSHE	滨江集团	2018-09-30	0.167
000069.XSHE	华侨城A	2018-09-30	0.51
600958.XSHG	东方证券	2018-09-30	0.778
601108.XSHG	财通证券	2018-09-30	0.096
603323.XSHG	吴江银行	2018-09-30	0.115
601588.XSHG	北辰实业	2018-09-30	0.143
600503.XSHG	华丽家族	2018-09-30	0.143
601211.XSHG	国泰君安	2018-09-30	1.36
600291.XSHG	西水股份	2018-09-30	0.2
601128.XSHG	常熟银行	2018-09-30	0.163
001979.XSHE	招商蛇口	2018-09-30	1.056
002314.XSHE	南山控股	2018-09-30	0.086
600030.XSHG	中信证券	2018-09-30	3.113
601688.XSHG	华泰证券	2018-09-30	1.242
600036.XSHG	招商银行	2018-09-30	7.221
002147.XSHE	新光圆成	2018-09-30	0.267
002146.XSHE	荣盛发展	2018-09-30	0.35
000882.XSHE	华联股份	2018-09-30	0.104
600837.XSHG	海通证券	2018-09-30	1.716
002142.XSHE	宁波银行	2018-09-30	1.053
601288.XSHG	农业银行	2018-09-30	3.441
601818.XSHG	光大银行	2018-09-30	1.47
002797.XSHE	第一创业	2018-09-30	0.27
600743.XSHG	华远地产	2018-09-30	0.057
000540.XSHE	中天金融	2018-09-30	0.51
600622.XSHG	光大嘉宝	2018-09-30	0.11
600748.XSHG	上实发展	2018-09-30	0.065
601881.XSHG	中国银河	2018-09-30	0.236
600340.XSHG	华夏幸福	2018-09-30	0.734
600109.XSHG	国金证券	2018-09-30	0.355
000979.XSHE	中弘股份	2018-09-30	0.135
601328.XSHG	交通银行	2018-09-30	3.821
600325.XSHG	华发股份	2018-09-30	0.3
000656.XSHE	金科股份	2018-09-30	0.342
600240.XSHG	华业资本	2018-09-30	0.227
600246.XSHG	万通地产	2018-09-30	0.059
002305.XSHE	南国置业	2018-09-30	0.056
000718.XSHE	苏宁环球	2018-09-30	0.127
000712.XSHE	锦龙股份	2018-09-30	0.089
000560.XSHE	我爱我家	2018-09-30	0.066
000563.XSHE	陕国投A	2018-09-30	0.141
000006.XSHE	深振业A	2018-09-30	0.127
600639.XSHG	浦东金桥	2018-09-30	0.07
600638.XSHG	新黄浦	2018-09-30	0.068
000002.XSHE	万科A	2018-09-30	2.894
000001.XSHE	平安银行	2018-09-30	2.152
000166.XSHE	申万宏源	2018-09-30	0.746
000961.XSHE	中南建设	2018-09-30	0.28
601336.XSHG	新华保险	2018-09-30	0.947
601377.XSHG	兴业证券	2018-09-30	0.52
601601.XSHG	中国太保	2018-09-30	2.548
