code	display_name	date	weight
000008.XSHE	神州高铁	2020-07-11	0.117
000009.XSHE	中国宝安	2020-07-11	0.447
000012.XSHE	南玻A	2020-07-11	0.143
000021.XSHE	深科技	2020-07-11	0.327
001872.XSHE	招商港口	2020-07-11	0.031
000025.XSHE	特力A	2020-07-11	0.044
000027.XSHE	深圳能源	2020-07-11	0.135
000028.XSHE	国药一致	2020-07-11	0.137
000031.XSHE	大悦城	2020-07-11	0.133
000039.XSHE	中集集团	2020-07-11	0.157
001914.XSHE	招商积余	2020-07-11	0.266
000046.XSHE	泛海控股	2020-07-11	0.12
000050.XSHE	深天马A	2020-07-11	0.32
000060.XSHE	中金岭南	2020-07-11	0.189
000061.XSHE	农产品	2020-07-11	0.102
000062.XSHE	深圳华强	2020-07-11	0.093
000078.XSHE	海王生物	2020-07-11	0.142
000089.XSHE	深圳机场	2020-07-11	0.16
000090.XSHE	天健集团	2020-07-11	0.184
000156.XSHE	华数传媒	2020-07-11	0.127
000158.XSHE	常山北明	2020-07-11	0.204
000301.XSHE	东方盛虹	2020-07-11	0.137
000400.XSHE	许继电气	2020-07-11	0.163
000401.XSHE	冀东水泥	2020-07-11	0.308
000402.XSHE	金融街	2020-07-11	0.162
000415.XSHE	渤海租赁	2020-07-11	0.15
000488.XSHE	晨鸣纸业	2020-07-11	0.134
000501.XSHE	鄂武商A	2020-07-11	0.147
000513.XSHE	丽珠集团	2020-07-11	0.363
000519.XSHE	中兵红箭	2020-07-11	0.134
000528.XSHE	柳工	2020-07-11	0.133
000537.XSHE	广宇发展	2020-07-11	0.083
000543.XSHE	皖能电力	2020-07-11	0.093
000547.XSHE	航天发展	2020-07-11	0.358
000553.XSHE	安道麦A	2020-07-11	0.084
000559.XSHE	万向钱潮	2020-07-11	0.136
000563.XSHE	陕国投A	2020-07-11	0.15
000564.XSHE	供销大集	2020-07-11	0.22
000581.XSHE	威孚高科	2020-07-11	0.247
000598.XSHE	兴蓉环境	2020-07-11	0.168
000600.XSHE	建投能源	2020-07-11	0.074
000623.XSHE	吉林敖东	2020-07-11	0.298
000629.XSHE	攀钢钒钛	2020-07-11	0.176
000630.XSHE	铜陵有色	2020-07-11	0.29
000636.XSHE	风华高科	2020-07-11	0.426
000681.XSHE	视觉中国	2020-07-11	0.159
000685.XSHE	中山公用	2020-07-11	0.139
000686.XSHE	东北证券	2020-07-11	0.242
000690.XSHE	宝新能源	2020-07-11	0.167
000712.XSHE	锦龙股份	2020-07-11	0.114
000717.XSHE	韶钢松山	2020-07-11	0.094
000718.XSHE	苏宁环球	2020-07-11	0.096
000729.XSHE	燕京啤酒	2020-07-11	0.197
000732.XSHE	泰禾集团	2020-07-11	0.103
000738.XSHE	航发控制	2020-07-11	0.159
000739.XSHE	普洛药业	2020-07-11	0.28
000750.XSHE	国海证券	2020-07-11	0.337
000758.XSHE	中色股份	2020-07-11	0.117
000778.XSHE	新兴铸管	2020-07-11	0.167
000785.XSHE	居然之家	2020-07-11	0.049
000800.XSHE	一汽解放	2020-07-11	0.202
000807.XSHE	云铝股份	2020-07-11	0.139
000813.XSHE	德展健康	2020-07-11	0.113
000825.XSHE	太钢不锈	2020-07-11	0.154
000826.XSHE	启迪环境	2020-07-11	0.108
000830.XSHE	鲁西化工	2020-07-11	0.156
000848.XSHE	承德露露	2020-07-11	0.092
000869.XSHE	张裕A	2020-07-11	0.095
000877.XSHE	天山股份	2020-07-11	0.194
000878.XSHE	云南铜业	2020-07-11	0.22
000883.XSHE	湖北能源	2020-07-11	0.14
000887.XSHE	中鼎股份	2020-07-11	0.117
000898.XSHE	鞍钢股份	2020-07-11	0.12
000930.XSHE	中粮科技	2020-07-11	0.156
000932.XSHE	华菱钢铁	2020-07-11	0.141
000937.XSHE	冀中能源	2020-07-11	0.065
000959.XSHE	首钢股份	2020-07-11	0.139
000960.XSHE	锡业股份	2020-07-11	0.175
000967.XSHE	盈峰环境	2020-07-11	0.16
000970.XSHE	中科三环	2020-07-11	0.17
000975.XSHE	银泰黄金	2020-07-11	0.38
000983.XSHE	西山煤电	2020-07-11	0.157
000987.XSHE	越秀金控	2020-07-11	0.131
000988.XSHE	华工科技	2020-07-11	0.4
000990.XSHE	诚志股份	2020-07-11	0.097
000997.XSHE	新大陆	2020-07-11	0.24
000998.XSHE	隆平高科	2020-07-11	0.313
000999.XSHE	华润三九	2020-07-11	0.233
600006.XSHG	东风汽车	2020-07-11	0.066
600008.XSHG	首创股份	2020-07-11	0.209
600021.XSHG	上海电力	2020-07-11	0.197
600026.XSHG	中远海能	2020-07-11	0.183
600037.XSHG	歌华有线	2020-07-11	0.302
600039.XSHG	四川路桥	2020-07-11	0.173
600053.XSHG	九鼎投资	2020-07-11	0.079
600056.XSHG	中国医药	2020-07-11	0.154
600058.XSHG	五矿发展	2020-07-11	0.053
600060.XSHG	海信视像	2020-07-11	0.194
600062.XSHG	华润双鹤	2020-07-11	0.141
