code	display_name	date	weight
000686.XSHE	东北证券	2020-07-11	0.855
000712.XSHE	锦龙股份	2020-07-11	0.403
000728.XSHE	国元证券	2020-07-11	1.222
000750.XSHE	国海证券	2020-07-11	1.191
000776.XSHE	广发证券	2020-07-11	3.01
000783.XSHE	长江证券	2020-07-11	1.879
600030.XSHG	中信证券	2020-07-11	14.471
600061.XSHG	国投资本	2020-07-11	1.55
600109.XSHG	国金证券	2020-07-11	1.988
600155.XSHG	华创阳安	2020-07-11	1.051
600369.XSHG	西南证券	2020-07-11	0.933
600621.XSHG	华鑫股份	2020-07-11	0.59
600837.XSHG	海通证券	2020-07-11	7.331
600864.XSHG	哈投股份	2020-07-11	0.45
601099.XSHG	太平洋	2020-07-11	1.556
601788.XSHG	光大证券	2020-07-11	2.259
600999.XSHG	招商证券	2020-07-11	4.52
601688.XSHG	华泰证券	2020-07-11	7.97
300059.XSHE	东方财富	2020-07-11	9.379
601377.XSHG	兴业证券	2020-07-11	2.313
002500.XSHE	山西证券	2020-07-11	1.039
601901.XSHG	方正证券	2020-07-11	2.099
601555.XSHG	东吴证券	2020-07-11	1.824
002673.XSHE	西部证券	2020-07-11	1.029
002670.XSHE	国盛金控	2020-07-11	0.765
600909.XSHG	华安证券	2020-07-11	0.891
601211.XSHG	国泰君安	2020-07-11	5.606
600958.XSHG	东方证券	2020-07-11	2.447
601198.XSHG	东兴证券	2020-07-11	1.083
002797.XSHE	第一创业	2020-07-11	1.222
601878.XSHG	浙商证券	2020-07-11	0.952
002736.XSHE	国信证券	2020-07-11	2.002
601881.XSHG	中国银河	2020-07-11	1.065
601375.XSHG	中原证券	2020-07-11	0.453
000166.XSHE	申万宏源	2020-07-11	3.278
002961.XSHE	瑞达期货	2020-07-11	0.097
002926.XSHE	华西证券	2020-07-11	1.005
603093.XSHG	南华期货	2020-07-11	0.117
601108.XSHG	财通证券	2020-07-11	1.855
601162.XSHG	天风证券	2020-07-11	1.455
002939.XSHE	长城证券	2020-07-11	0.826
002945.XSHE	华林证券	2020-07-11	0.269
601990.XSHG	南京证券	2020-07-11	1.695
601066.XSHG	中信建投	2020-07-11	1.449
601236.XSHG	红塔证券	2020-07-11	0.558
