code	display_name	date	weight
002121.XSHE	科陆电子	2018-09-30	1.083
000826.XSHE	启迪桑德	2018-09-30	0.845
002573.XSHE	清新环境	2018-09-30	1.058
002672.XSHE	东江环保	2018-09-30	0.916
002372.XSHE	伟星新材	2018-09-30	1.106
601877.XSHG	正泰电器	2018-09-30	1.194
600089.XSHG	特变电工	2018-09-30	1.123
000012.XSHE	南玻A	2018-09-30	1.01
600550.XSHG	保变电气	2018-09-30	0.975
600416.XSHG	湘电股份	2018-09-30	0.984
600008.XSHG	首创股份	2018-09-30	1.086
300145.XSHE	中金环境	2018-09-30	0.897
002202.XSHE	金风科技	2018-09-30	1.065
000544.XSHE	中原环保	2018-09-30	0.935
002056.XSHE	横店东磁	2018-09-30	1.033
000541.XSHE	佛山照明	2018-09-30	1.07
601200.XSHG	上海环境	2018-09-30	1.002
002366.XSHE	台海核电	2018-09-30	0.704
300495.XSHE	美尚生态	2018-09-30	1.166
601908.XSHG	京运通	2018-09-30	1.064
600151.XSHG	航天机电	2018-09-30	1.043
300317.XSHE	珈伟股份	2018-09-30	0.565
300316.XSHE	晶盛机电	2018-09-30	1.115
300090.XSHE	盛运环保	2018-09-30	0.389
300664.XSHE	鹏鹞环保	2018-09-30	0.807
000786.XSHE	北新建材	2018-09-30	0.975
600651.XSHG	飞乐音响	2018-09-30	0.975
300156.XSHE	神雾环保	2018-09-30	0.889
002850.XSHE	科达利	2018-09-30	0.842
000685.XSHE	中山公用	2018-09-30	1.027
002518.XSHE	科士达	2018-09-30	0.82
002594.XSHE	比亚迪	2018-09-30	1.086
002610.XSHE	爱康科技	2018-09-30	1.227
600703.XSHG	三安光电	2018-09-30	0.986
600874.XSHG	创业环保	2018-09-30	0.898
601016.XSHG	节能风电	2018-09-30	1.01
603218.XSHG	日月股份	2018-09-30	0.998
601012.XSHG	隆基股份	2018-09-30	0.829
600388.XSHG	龙净环保	2018-09-30	0.905
600478.XSHG	科力远	2018-09-30	0.903
603588.XSHG	高能环境	2018-09-30	1.013
002341.XSHE	新纶科技	2018-09-30	0.968
002340.XSHE	格林美	2018-09-30	1.017
300274.XSHE	阳光电源	2018-09-30	0.67
002506.XSHE	协鑫集成	2018-09-30	1.16
600674.XSHG	川投能源	2018-09-30	1.055
002421.XSHE	达实智能	2018-09-30	0.966
603515.XSHG	欧普照明	2018-09-30	0.832
300072.XSHE	三聚环保	2018-09-30	0.795
300070.XSHE	碧水源	2018-09-30	0.845
600770.XSHG	综艺股份	2018-09-30	1.033
002123.XSHE	梦网集团	2018-09-30	0.966
600217.XSHG	中再资环	2018-09-30	1.227
002335.XSHE	科华恒盛	2018-09-30	0.961
002080.XSHE	中材科技	2018-09-30	1.074
002129.XSHE	中环股份	2018-09-30	0.996
000591.XSHE	太阳能	2018-09-30	0.942
002531.XSHE	天顺风能	2018-09-30	0.997
000598.XSHE	兴蓉环境	2018-09-30	1.109
300266.XSHE	兴源环境	2018-09-30	0.306
002431.XSHE	棕榈股份	2018-09-30	0.99
601179.XSHG	中国西电	2018-09-30	1.112
002630.XSHE	华西能源	2018-09-30	0.977
603568.XSHG	伟明环保	2018-09-30	1.412
000690.XSHE	宝新能源	2018-09-30	1.072
600517.XSHG	置信电气	2018-09-30	0.972
600021.XSHG	上海电力	2018-09-30	1.259
600025.XSHG	华能水电	2018-09-30	1.03
000581.XSHE	威孚高科	2018-09-30	1.026
002249.XSHE	大洋电机	2018-09-30	1.05
002011.XSHE	盾安环境	2018-09-30	1.227
300055.XSHE	万邦达	2018-09-30	0.89
300197.XSHE	铁汉生态	2018-09-30	1.227
300296.XSHE	利亚德	2018-09-30	0.904
600116.XSHG	三峡水利	2018-09-30	1.119
300355.XSHE	蒙草生态	2018-09-30	0.89
300118.XSHE	东方日升	2018-09-30	0.708
002310.XSHE	东方园林	2018-09-30	0.935
601727.XSHG	上海电气	2018-09-30	0.968
002256.XSHE	兆新股份	2018-09-30	0.993
002658.XSHE	雪迪龙	2018-09-30	0.971
002717.XSHE	岭南股份	2018-09-30	1.13
300203.XSHE	聚光科技	2018-09-30	1.265
300323.XSHE	华灿光电	2018-09-30	0.992
000400.XSHE	许继电气	2018-09-30	1.044
600406.XSHG	国电南瑞	2018-09-30	1.199
600323.XSHG	瀚蓝环境	2018-09-30	1.126
603806.XSHG	福斯特	2018-09-30	1.115
002665.XSHE	首航节能	2018-09-30	1.224
002663.XSHE	普邦股份	2018-09-30	0.949
000711.XSHE	京蓝科技	2018-09-30	1.227
002266.XSHE	浙富控股	2018-09-30	1.144
600900.XSHG	长江电力	2018-09-30	1.151
600884.XSHG	杉杉股份	2018-09-30	1.046
603659.XSHG	璞泰来	2018-09-30	1.053
300232.XSHE	洲明科技	2018-09-30	0.938
601127.XSHG	小康股份	2018-09-30	1.093
300237.XSHE	美晨生态	2018-09-30	1.134
600875.XSHG	东方电气	2018-09-30	0.957
000967.XSHE	盈峰环境	2018-09-30	0.947
