code	display_name	date	weight
000776.XSHE	广发证券	2018-09-30	5.63
600030.XSHG	中信证券	2018-09-30	15.02
000728.XSHE	国元证券	2018-09-30	1.893
601688.XSHG	华泰证券	2018-09-30	7.074
000686.XSHE	东北证券	2018-09-30	1.212
002673.XSHE	西部证券	2018-09-30	1.95
002670.XSHE	国盛金控	2018-09-30	1.14
600837.XSHG	海通证券	2018-09-30	9.778
000987.XSHE	越秀金控	2018-09-30	0.269
002797.XSHE	第一创业	2018-09-30	1.538
002736.XSHE	国信证券	2018-09-30	2.914
600909.XSHG	华安证券	2018-09-30	1.322
601878.XSHG	浙商证券	2018-09-30	0.346
600109.XSHG	国金证券	2018-09-30	2.021
601099.XSHG	太平洋	2018-09-30	2.172
600369.XSHG	西南证券	2018-09-30	1.453
601198.XSHG	东兴证券	2018-09-30	1.944
600061.XSHG	国投资本	2018-09-30	1.048
601881.XSHG	中国银河	2018-09-30	1.343
601555.XSHG	东吴证券	2018-09-30	2.152
000750.XSHE	国海证券	2018-09-30	1.402
600999.XSHG	招商证券	2018-09-30	4.225
000712.XSHE	锦龙股份	2018-09-30	0.507
002500.XSHE	山西证券	2018-09-30	1.517
600958.XSHG	东方证券	2018-09-30	4.432
601788.XSHG	光大证券	2018-09-30	2.867
600155.XSHG	华创阳安	2018-09-30	0.481
601108.XSHG	财通证券	2018-09-30	0.548
601901.XSHG	方正证券	2018-09-30	3.459
000166.XSHE	申万宏源	2018-09-30	4.252
000783.XSHE	长江证券	2018-09-30	2.756
601211.XSHG	国泰君安	2018-09-30	7.747
601375.XSHG	中原证券	2018-09-30	0.624
601377.XSHG	兴业证券	2018-09-30	2.964
