开始日期	结束日期	开始	结束	幅度	持有期
2009/04/13	2009/11/16	14901.41	22943.98	53.97%	217
2009/11/16	2010/05/25	22943.98	18985.5	-17.25%	190
2010/05/25	2010/11/08	18985.5	24964.37	31.49%	167
2010/11/08	2011/10/04	24964.37	16250.27	-34.91%	330
2011/10/04	2012/02/29	16250.27	21680.08	33.41%	148
2012/02/29	2012/06/04	21680.08	18185.59	-16.12%	96
2012/06/04	2013/01/30	18185.59	23822.06	30.99%	240
2013/01/30	2013/06/24	23822.06	19813.98	-16.83%	145
2013/06/24	2015/04/28	19813.98	28442.75	43.55%	673
2015/04/28	2016/02/12	28442.75	18319.58	-35.59%	290
2016/02/12	2018/01/26	18319.58	33154.12	80.98%	714
2018/01/26	2018/10/30	33154.12	24585.53	-25.84%	277
2018/10/30	2019/04/12	24585.53	29909.76	21.66%	164
