开始日期	结束日期	开始	结束	幅度	持有期
1990/04/25	1998/07/17	2666.44	9337.97	250.2%	3005
1998/07/17	1998/08/31	9337.97	7539.06	-19.26%	45
1998/08/31	2000/01/14	7539.06	11722.98	55.5%	501
2000/01/14	2000/03/07	11722.98	9796.04	-16.44%	53
2000/03/07	2000/09/06	9796.04	11310.64	15.46%	183
2000/09/06	2001/03/22	11310.64	9389.48	-16.99%	197
2001/03/22	2001/05/21	9389.48	11337.92	20.75%	60
2001/05/21	2001/09/21	11337.92	8235.81	-27.36%	123
2001/09/21	2002/03/19	8235.81	10635.25	29.13%	179
2002/03/19	2002/07/23	10635.25	7702.34	-27.58%	126
2002/07/23	2002/08/22	7702.34	9053.64	17.54%	30
2002/08/22	2002/10/09	9053.64	7286.27	-19.52%	48
2002/10/09	2002/11/27	7286.27	8931.68	22.58%	49
2002/11/27	2003/03/11	8931.68	7524.06	-15.76%	104
2003/03/11	2007/10/09	7524.06	14164.53	88.26%	1673
2007/10/09	2008/10/27	14164.53	8175.77	-42.28%	384
2008/10/27	2008/11/04	8175.77	9625.28	17.73%	8
2008/11/04	2008/11/20	9625.28	7552.29	-21.54%	16
2008/11/20	2009/01/02	7552.29	9034.69	19.63%	43
2009/01/02	2009/03/09	9034.69	6547.05	-27.53%	66
2009/03/09	2011/04/29	6547.05	12810.54	95.67%	781
2011/04/29	2011/10/03	12810.54	10655.3	-16.82%	157
2011/10/03	2018/10/03	10655.3	26828.39	151.78%	2557
2018/10/03	2018/12/24	26828.39	21792.2	-18.77%	82
2018/12/24	2019/10/10	21792.2	26496.67	21.59%	290
