开始日期	结束日期	开始	结束	幅度	持有期
2005/01/04	2005/07/18	986.93	696.85	-29.39%	195
2005/07/18	2006/07/12	696.85	1562.06	124.16%	359
2006/07/12	2006/08/07	1562.06	1323.73	-15.26%	26
2006/08/07	2007/05/29	1323.73	4853.64	266.66%	295
2007/05/29	2007/06/04	4853.64	3618.69	-25.44%	6
2007/06/04	2007/06/19	3618.69	4529.03	25.16%	15
2007/06/19	2007/07/05	4529.03	3380.18	-25.37%	16
2007/07/05	2007/10/09	3380.18	5141.89	52.12%	96
2007/10/09	2007/11/28	5141.89	4078.04	-20.69%	50
2007/11/28	2008/01/15	4078.04	5487.09	34.55%	48
2008/01/15	2008/02/01	5487.09	4456.93	-18.77%	17
2008/02/01	2008/03/03	4456.93	5227.73	17.29%	31
2008/03/03	2008/04/22	5227.73	3266.38	-37.52%	50
2008/04/22	2008/05/14	3266.38	4168.49	27.62%	22
2008/05/14	2008/06/19	4168.49	2702.8	-35.16%	36
2008/06/19	2008/07/09	2702.8	3226.15	19.36%	20
2008/07/09	2008/11/04	3226.15	1513.49	-53.09%	118
2008/11/04	2009/02/23	1513.49	2871.79	89.75%	111
2009/02/23	2009/02/27	2871.79	2416.95	-15.84%	4
2009/02/27	2009/08/04	2416.95	4069.35	68.37%	158
2009/08/04	2009/09/01	4069.35	3245.27	-20.25%	28
2009/09/01	2010/04/14	3245.27	4977.51	53.38%	225
2010/04/14	2010/07/05	4977.51	3563.88	-28.4%	82
2010/07/05	2010/11/10	3563.88	5484.74	53.9%	128
2010/11/10	2011/01/25	5484.74	4341.91	-20.84%	76
2011/01/25	2011/03/25	4341.91	5212.35	20.05%	59
2011/03/25	2012/01/05	5212.35	3074.37	-41.02%	286
2012/01/05	2012/03/13	3074.37	3910.06	27.18%	68
2012/03/13	2012/12/03	3910.06	2749.13	-29.69%	265
2012/12/03	2013/05/30	2749.13	3865.13	40.59%	178
2013/05/30	2013/06/25	3865.13	3219.13	-16.71%	26
2013/06/25	2015/06/12	3219.13	11545.89	258.66%	717
2015/06/12	2015/07/08	11545.89	6602.37	-42.82%	26
2015/07/08	2015/08/17	6602.37	8820.46	33.6%	40
2015/08/17	2015/09/15	8820.46	5708.03	-35.29%	29
2015/09/15	2015/11/25	5708.03	7922.38	38.79%	71
2015/11/25	2016/01/28	7922.38	5271.23	-33.46%	64
2016/01/28	2017/10/13	5271.23	6709.82	27.29%	624
2017/10/13	2018/10/18	6709.82	4018.46	-40.11%	370
2018/10/18	2019/04/04	4018.46	5871.56	46.11%	168
2019/04/04	2019/10/11	5871.56	5055.52	-13.9%	190
