开始日期	结束日期	开始	结束	幅度	持有期
2015/05/19	2015/07/08	1632.28	1074.15	-34.19%	50
2015/07/08	2015/07/13	1074.15	1290.61	20.15%	5
2015/07/13	2015/08/26	1290.61	704.66	-45.4%	44
2015/08/26	2015/11/11	704.66	1152.89	63.61%	77
2015/11/11	2016/02/29	1152.89	716.98	-37.81%	110
2016/02/29	2016/11/14	716.98	955.33	33.24%	259
2016/11/14	2017/05/22	955.33	753.0	-21.18%	189
2017/05/22	2017/09/01	753.0	888.94	18.05%	102
2017/09/01	2017/12/27	888.94	733.97	-17.43%	117
2017/12/27	2018/01/24	733.97	853.85	16.33%	28
2018/01/24	2018/10/18	853.85	472.62	-44.65%	267
2018/10/18	2018/11/19	472.62	634.38	34.23%	32
2018/11/19	2018/12/27	634.38	534.83	-15.69%	38
2018/12/27	2019/03/07	534.83	873.01	63.23%	70
2019/03/07	2019/08/07	873.01	669.96	-23.26%	153
2019/08/07	2019/10/11	669.96	727.16	8.54%	65
