螺丝钉定投	总市值	18023.99	累计收益	246.72
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
大成中证红利指数A	090010	1.656	2001.67	3254.72	-60.08
华宝香港中小	501021	1.3481	2260.14	3239.91	192.97
银河沪深300价值指数	519671	1.4223	2224.19	3202.83	39.34
景顺长城中证500低波动	003318	0.9357	2919.29	2694.5	-37.19
嘉实深证基本面120联接	070023	1.7845	1126.01	2069.61	60.21
建信深证基本面60ETF联接A	530015	2.1101	803.1	1716.31	21.68
华宝红利基金	501029	0.9827	550.4	514.57	-26.32
广发中证养老	000968	0.9576	536.31	507.35	-6.24
天弘中证医药100A	001550	0.6708	531.87	410.5	53.72
华夏上证50AH优选指数	501050	1.2636	247.91	325.75	12.49
申万菱信沪深300价值指数	310398	1.5296	60.61	87.95	-4.76
大成景安短融债券E	002086	1.2256	0	0	0.91
