10万补充ETF计划	总市值	34205.75	累计收益	575.61
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
建信中证500指数增强A	000478	1.9239	3813.64	7489.61	152.61
广发中证环保ETF联接A	001064	0.5489	9722	5240.16	-95.84
广发养老指数A	000968	0.9444	4943.96	4676.99	7.99
华夏中证500ETF联接A	001052	0.5423	7379.54	4051.37	49.37
广发中证传媒ETF联接A	004752	0.7329	4550.55	3457.96	122.96
富国中证红利指数增强	100032	1.0914	3055.68	3379.58	44.58
广发创业板ETF联接A	003765	0.9059	736.3	700.0	33
易方达创业板ETF联接A	110026	1.6649	400.63	699.14	32.14
易方达证券公司分级	502010	0.9949	281.57	277.68	-2.46
华宝标普石油指数	162411	0.3775	5299.96	2088.18	87.18
交银中证海外中国互联网指数	164906	1.1564	576.8	726.77	59.77
华夏恒生ETF联接A	000071	1.451	459.67	688.49	21.49
华安德国30(DAX)联接	000614	1.0903	611.75	729.82	62.82
