我的S定投计划	总市值	19775.81	累计收益	775.8
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
建信中证500指数增强A	000478	1.9178	1564.33	3365.5	365.5
富国中证红利指数增强	100032	0.973	3083.26	3148.01	148.01
华夏中证500ETF联接A	001052	0.5517	1812.7	1131.12	131.12
广发中证传媒ETF联接A	004752	0.815	1227.03	1108.62	108.62
华夏上证50ETF联接A	001051	0.9441	1059.17	1054.93	54.93
广发中证全指金融地产联接A	001469	1.0907	916.83	996.32	-3.68
华安黄金易ETF联接A	000216	1.0902	1834.47	2406.64	406.64
交银中证海外中国互联网指数	164906	1.1113	899.82	1228.25	228.25
华夏恒生ETF联接A	000071	1.4513	689.02	1014.24	14.24
华宝标普石油指数A	162411	0.3879	7734.05	2205.75	-794.25
易方达安心债券A	110027	1.6793	595.47	1086.14	86.14
华安德国30(DAX)联接	000614	1.0483	953.96	1030.28	30.28
