螺丝钉	总市值	27634.48	累计收益	1258.86
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
大成中证红利指数A	090010	1.652	3182.32	5279.47	22.01
银河沪深300价值指数	519671	1.432	3572.12	5100.99	-13.95
景顺长城中证500低波动	003318	0.9403	4586.65	4654.53	341.84
华宝香港中小	501021	1.3481	2260.14	3328.28	281.34
嘉实深证基本面120联接	070023	1.7987	1363.37	2747.6	295.32
建信深证基本面60ETF联接A	530015	2.1359	1178.34	2740.82	223.96
天弘中证银行指数A	001594	1.2125	1077.86	1254.74	-48.25
广发中证养老	000968	0.9589	1067.42	1123.03	99.52
易方达中概互联50ETF联接人民币A	006327	1.1802	718.11	905.94	-29.36
华夏上证50AH优选指数	501050	1.2636	247.91	328.48	15.22
申万菱信沪深300价值指数	310398	1.4374	64.5	87.3	-5.41
易方达标普信息科技	161128	0	0	83.3	0
天弘中证医药100A	001550	0.6708	0	0	112.47
大成景安短融债券E	002086	1.2256	0	0	0.91
华宝红利基金	501029	0.9827	0	0	-36.77
