	date	value	pe	pb
0	2005/01/05	97.0	26.9	1.92
1	2005/01/06	97.0	27.09	1.92
2	2005/01/07	97.0	27.48	1.96
3	2005/01/10	97.0	27.77	1.98
4	2005/01/11	97.0	27.94	1.99
5	2005/01/12	97.0	27.86	1.99
6	2005/01/13	97.0	28.08	2.0
7	2005/01/14	97.0	27.6	1.97
8	2005/01/17	97.0	27.2	1.93
9	2005/01/18	97.0	27.62	1.97
10	2005/01/19	97.0	27.37	1.96
11	2005/01/20	97.0	27.04	1.93
12	2005/01/21	97.0	27.67	1.98
13	2005/01/24	97.0	28.15	2.02
14	2005/01/25	97.0	28.09	2.01
15	2005/01/26	97.0	28.11	2.0
16	2005/01/27	97.0	27.92	1.98
17	2005/01/28	97.0	27.21	1.92
18	2005/01/31	97.0	26.48	1.87
19	2005/02/01	97.0	26.3	1.85
20	2005/02/02	97.0	27.76	1.95
21	2005/02/03	97.0	27.53	1.93
22	2005/02/04	97.0	27.53	1.98
23	2005/02/16	97.0	27.73	2.0
24	2005/02/17	97.0	27.83	2.01
25	2005/02/18	97.0	27.41	1.98
26	2005/02/21	97.0	27.99	2.02
27	2005/02/22	97.0	28.58	2.06
28	2005/02/23	97.0	28.7	2.08
29	2005/02/24	97.0	28.66	2.08
30	2005/02/25	97.0	28.67	2.08
31	2005/02/28	97.0	28.72	2.06
32	2005/03/01	96.0	28.39	2.05
33	2005/03/02	96.0	27.91	2.02
34	2005/03/03	96.0	28.23	2.04
35	2005/03/04	96.0	27.9	2.03
36	2005/03/07	96.0	27.84	2.03
37	2005/03/08	96.0	28.28	2.07
38	2005/03/09	96.0	28.27	2.06
39	2005/03/10	96.0	27.37	1.99
40	2005/03/11	96.0	27.43	1.99
41	2005/03/14	96.0	27.47	1.97
42	2005/03/15	96.0	27.67	1.94
43	2005/03/16	96.0	27.53	1.93
44	2005/03/17	96.0	26.7	1.88
45	2005/03/18	96.0	25.93	1.84
46	2005/03/21	96.0	26.0	1.83
47	2005/03/22	96.0	25.04	1.76
48	2005/03/23	96.0	25.09	1.76
49	2005/03/24	96.0	25.75	1.79
50	2005/03/25	96.0	25.7	1.79
