	date	value	pe	pb
0	2005/01/05	35.0	22.18	2.25
1	2005/01/06	35.0	21.81	2.21
2	2005/01/07	35.0	21.42	2.18
3	2005/01/10	35.0	21.6	2.2
4	2005/01/11	35.0	21.51	2.19
5	2005/01/12	35.0	21.6	2.19
6	2005/01/13	35.0	21.72	2.19
7	2005/01/14	35.0	21.43	2.15
8	2005/01/17	35.0	20.87	2.09
9	2005/01/18	35.0	20.88	2.09
10	2005/01/19	35.0	20.52	2.07
11	2005/01/20	35.0	20.18	2.03
12	2005/01/21	35.0	20.92	2.1
13	2005/01/24	35.0	21.39	2.14
14	2005/01/25	35.0	21.52	2.13
15	2005/01/26	35.0	21.29	2.12
16	2005/01/27	35.0	20.82	2.06
17	2005/01/28	35.0	20.65	2.03
18	2005/01/31	35.0	20.12	1.98
19	2005/02/01	35.0	20.06	1.98
20	2005/02/02	35.0	21.31	2.1
21	2005/02/03	35.0	20.79	2.06
22	2005/02/04	35.0	20.9	2.09
23	2005/02/16	35.0	21.12	2.12
24	2005/02/17	35.0	20.99	2.11
25	2005/02/18	35.0	20.92	2.1
26	2005/02/21	35.0	20.76	2.14
27	2005/02/22	35.0	21.17	2.19
28	2005/02/23	35.0	21.23	2.21
29	2005/02/24	35.0	21.28	2.22
30	2005/02/25	35.0	21.46	2.24
31	2005/02/28	35.0	21.46	2.25
32	2005/03/01	35.0	21.42	2.25
33	2005/03/02	35.0	21.14	2.23
34	2005/03/03	35.0	21.21	2.23
35	2005/03/04	35.0	20.95	2.21
36	2005/03/07	35.0	21.04	2.22
37	2005/03/08	35.0	21.51	2.26
38	2005/03/09	35.0	21.44	2.26
39	2005/03/10	35.0	20.81	2.19
40	2005/03/11	35.0	20.83	2.19
41	2005/03/14	35.0	21.04	2.19
42	2005/03/15	35.0	20.36	2.15
43	2005/03/16	35.0	19.96	2.11
44	2005/03/17	35.0	19.98	2.12
45	2005/03/18	35.0	19.45	2.07
46	2005/03/21	35.0	19.32	2.05
47	2005/03/22	35.0	19.19	2.01
48	2005/03/23	35.0	19.3	2.03
49	2005/03/24	35.0	19.36	2.03
50	2005/03/25	35.0	19.32	2.03
51	2005/03/28	35.0	18.95	2.01
52	2005/03/29	35.0	18.56	2.0
53	2005/03/30	35.0	18.21	1.95
54	2005/03/31	35.0	18.36	1.97
55	2005/04/01	35.0	19.05	2.04
56	2005/04/04	35.0	18.99	2.04
57	2005/04/05	35.0	18.93	2.02
58	2005/04/06	35.0	19.56	2.08
59	2005/04/07	35.0	19.63	2.08
60	2005/04/08	35.0	20.01	2.12
61	2005/04/11	35.0	20.21	2.09
62	2005/04/12	35.0	19.88	2.06
63	2005/04/13	35.0	20.28	2.1
64	2005/04/14	35.0	19.87	2.05
