	date	value	pe	pb
0	2005/01/05	123.0	34.97	2.51
1	2005/01/06	123.0	34.65	2.49
2	2005/01/07	123.0	34.87	2.51
3	2005/01/10	123.0	35.15	2.54
4	2005/01/11	123.0	35.09	2.54
5	2005/01/12	123.0	35.04	2.54
6	2005/01/13	123.0	35.37	2.57
7	2005/01/14	123.0	34.89	2.52
8	2005/01/17	123.0	34.2	2.48
9	2005/01/18	123.0	34.78	2.54
10	2005/01/19	123.0	34.3	2.51
11	2005/01/20	123.0	33.75	2.48
12	2005/01/21	123.0	34.01	2.49
13	2005/01/24	123.0	34.83	2.55
14	2005/01/25	123.0	34.32	2.52
15	2005/01/26	123.0	33.75	2.47
16	2005/01/27	123.0	33.01	2.41
17	2005/01/28	123.0	32.53	2.36
18	2005/01/31	123.0	31.28	2.26
19	2005/02/01	123.0	30.94	2.23
20	2005/02/02	123.0	33.17	2.38
21	2005/02/03	123.0	33.32	2.32
22	2005/02/04	122.0	34.0	2.36
23	2005/02/16	122.0	34.32	2.38
24	2005/02/17	122.0	34.64	2.41
25	2005/02/18	122.0	33.93	2.36
26	2005/02/21	122.0	34.52	2.4
27	2005/02/22	122.0	35.92	2.47
28	2005/02/23	122.0	36.46	2.51
29	2005/02/24	122.0	36.59	2.52
30	2005/02/25	122.0	36.57	2.51
31	2005/02/28	122.0	36.69	2.5
32	2005/03/01	123.0	36.98	2.51
33	2005/03/02	123.0	36.57	2.46
34	2005/03/03	123.0	36.76	2.48
35	2005/03/04	123.0	36.35	2.45
36	2005/03/07	123.0	36.48	2.46
37	2005/03/08	123.0	37.39	2.52
38	2005/03/09	123.0	37.75	2.54
39	2005/03/10	123.0	36.79	2.47
40	2005/03/11	123.0	37.19	2.49
41	2005/03/14	123.0	36.92	2.46
42	2005/03/15	123.0	36.23	2.42
43	2005/03/16	123.0	35.95	2.39
44	2005/03/17	123.0	35.61	2.37
45	2005/03/18	123.0	34.5	2.29
46	2005/03/21	123.0	34.38	2.27
47	2005/03/22	123.0	33.06	2.17
48	2005/03/23	123.0	33.16	2.17
49	2005/03/24	123.0	33.57	2.21
50	2005/03/25	123.0	33.76	2.19
51	2005/03/28	123.0	33.2	2.15
52	2005/03/29	123.0	33.26	2.13
53	2005/03/30	123.0	32.57	2.07
54	2005/03/31	123.0	33.01	2.04
55	2005/04/01	123.0	34.23	2.12
56	2005/04/04	123.0	33.45	2.06
57	2005/04/05	123.0	32.98	2.04
58	2005/04/06	123.0	33.05	2.04
59	2005/04/07	123.0	33.96	2.09
60	2005/04/08	123.0	34.59	2.15
61	2005/04/11	123.0	34.48	2.17
62	2005/04/12	123.0	33.38	2.1
63	2005/04/13	123.0	34.54	2.15
64	2005/04/14	123.0	33.87	2.1
65	2005/04/15	123.0	32.74	2.03
66	2005/04/18	123.0	31.83	1.98
67	2005/04/19	123.0	31.87	1.98
68	2005/04/20	123.0	31.74	1.91
69	2005/04/21	123.0	30.76	1.85
70	2005/04/22	123.0	30.75	1.83
71	2005/04/25	123.0	29.89	1.77
72	2005/04/26	123.0	30.85	1.82
73	2005/04/27	124.0	30.43	1.75
74	2005/04/28	124.0	31.34	1.8
75	2005/04/29	124.0	30.82	1.75
76	2005/05/09	121.0	30.46	1.67
77	2005/05/10	121.0	30.47	1.67
78	2005/05/11	121.0	30.61	1.69
79	2005/05/12	121.0	30.49	1.7
80	2005/05/13	121.0	30.81	1.72
81	2005/05/16	121.0	30.34	1.71
82	2005/05/17	121.0	30.79	1.74
83	2005/05/18	121.0	31.07	1.76
84	2005/05/19	121.0	30.94	1.75
85	2005/05/20	121.0	30.59	1.72
86	2005/05/23	121.0	29.63	1.65
87	2005/05/24	121.0	30.47	1.72
88	2005/05/25	121.0	30.51	1.72
89	2005/05/26	121.0	30.3	1.72
90	2005/05/27	121.0	30.08	1.71
91	2005/05/30	121.0	30.28	1.73
92	2005/05/31	121.0	30.08	1.73
93	2005/06/01	121.0	29.33	1.69
94	2005/06/02	121.0	29.03	1.69
95	2005/06/03	121.0	28.86	1.68
96	2005/06/06	122.0	29.3	1.71
97	2005/06/07	122.0	29.41	1.72
98	2005/06/08	122.0	31.81	1.85
99	2005/06/09	122.0	32.41	1.89
100	2005/06/10	122.0	31.71	1.85
101	2005/06/13	122.0	31.67	1.85
102	2005/06/14	122.0	31.05	1.81
103	2005/06/15	122.0	30.29	1.76
104	2005/06/16	122.0	30.65	1.77
105	2005/06/17	122.0	30.49	1.76
106	2005/06/20	122.0	31.62	1.82
107	2005/06/21	122.0	31.24	1.79
108	2005/06/22	122.0	31.31	1.8
109	2005/06/23	122.0	30.8	1.76
110	2005/06/24	122.0	30.89	1.77
111	2005/06/27	122.0	31.88	1.82
112	2005/06/28	122.0	31.17	1.78
113	2005/06/29	122.0	31.09	1.77
114	2005/06/30	122.0	30.19	1.75
115	2005/07/01	122.0	28.65	1.64
116	2005/07/04	122.0	27.92	1.59
117	2005/07/05	122.0	27.72	1.58
118	2005/07/06	122.0	27.49	1.57
119	2005/07/07	122.0	27.6	1.58
120	2005/07/08	122.0	26.23	1.5
121	2005/07/11	122.0	25.95	1.47
122	2005/07/12	122.0	27.11	1.53
123	2005/07/13	122.0	27.15	1.53
124	2005/07/14	122.0	27.26	1.53
125	2005/07/15	122.0	26.2	1.47
126	2005/07/18	122.0	25.36	1.42
127	2005/07/19	122.0	25.54	1.43
128	2005/07/20	122.0	25.62	1.44
129	2005/07/21	122.0	25.58	1.44
130	2005/07/22	122.0	26.26	1.48
131	2005/07/25	122.0	25.89	1.46
132	2005/07/26	122.0	26.7	1.51
133	2005/07/27	122.0	27.32	1.55
134	2005/07/28	122.0	27.24	1.54
135	2005/07/29	122.0	27.32	1.55
136	2005/08/01	122.0	27.62	1.56
137	2005/08/02	122.0	28.22	1.6
138	2005/08/03	122.0	28.56	1.62
139	2005/08/04	122.0	28.74	1.61
140	2005/08/05	122.0	29.67	1.66
141	2005/08/08	122.0	29.98	1.69
142	2005/08/09	122.0	30.61	1.73
143	2005/08/10	122.0	30.92	1.75
144	2005/08/11	122.0	30.99	1.76
145	2005/08/12	122.0	30.33	1.74
146	2005/08/15	122.0	31.41	1.8
147	2005/08/16	122.0	31.32	1.8
148	2005/08/17	122.0	32.08	1.85
149	2005/08/18	122.0	30.74	1.77
150	2005/08/19	122.0	30.43	1.77
151	2005/08/22	122.0	30.96	1.78
152	2005/08/23	122.0	30.26	1.73
153	2005/08/24	122.0	30.29	1.75
154	2005/08/25	122.0	31.02	1.78
155	2005/08/26	122.0	32.12	1.82
156	2005/08/29	121.0	31.44	1.79
157	2005/08/30	121.0	32.41	1.77
158	2005/08/31	121.0	33.04	1.81
159	2005/09/01	120.0	33.78	1.86
160	2005/09/02	120.0	34.18	1.88
161	2005/09/05	120.0	34.62	1.91
162	2005/09/06	120.0	33.46	1.84
163	2005/09/07	120.0	34.38	1.9
164	2005/09/08	120.0	34.38	1.9
165	2005/09/09	120.0	34.03	1.88
166	2005/09/12	120.0	34.0	1.88
167	2005/09/13	120.0	34.76	1.93
168	2005/09/14	120.0	35.43	1.97
169	2005/09/15	120.0	35.62	1.99
170	2005/09/16	120.0	35.39	1.98
171	2005/09/19	120.0	35.94	2.01
172	2005/09/20	120.0	35.58	2.0
173	2005/09/21	120.0	34.91	1.97
174	2005/09/22	120.0	33.77	1.88
175	2005/09/23	120.0	32.98	1.83
176	2005/09/26	120.0	33.19	1.85
177	2005/09/27	120.0	32.57	1.79
178	2005/09/28	120.0	32.42	1.78
179	2005/09/29	120.0	33.05	1.82
180	2005/09/30	120.0	32.86	1.83
181	2005/10/10	120.0	31.88	1.77
182	2005/10/11	120.0	32.55	1.83
183	2005/10/12	120.0	32.59	1.83
184	2005/10/13	120.0	32.69	1.83
185	2005/10/14	120.0	32.54	1.82
186	2005/10/17	120.0	32.65	1.82
187	2005/10/18	120.0	32.75	1.85
188	2005/10/19	120.0	32.6	1.85
189	2005/10/20	120.0	32.52	1.83
190	2005/10/21	120.0	32.61	1.86
191	2005/10/24	120.0	33.97	1.87
192	2005/10/25	120.0	33.74	1.81
193	2005/10/26	120.0	33.17	1.75
194	2005/10/27	120.0	33.26	1.72
195	2005/10/28	120.0	33.25	1.67
196	2005/10/31	120.0	35.66	1.69
197	2005/11/01	120.0	35.59	1.7
198	2005/11/02	120.0	36.21	1.75
199	2005/11/03	120.0	35.79	1.73
200	2005/11/04	120.0	35.84	1.73
201	2005/11/07	120.0	35.91	1.74
202	2005/11/08	120.0	35.9	1.74
203	2005/11/09	120.0	36.08	1.74
204	2005/11/10	120.0	34.53	1.67
205	2005/11/11	120.0	34.53	1.68
206	2005/11/14	120.0	34.48	1.69
207	2005/11/15	120.0	33.9	1.67
208	2005/11/16	120.0	34.17	1.7
209	2005/11/17	120.0	34.03	1.69
210	2005/11/18	120.0	35.03	1.74
211	2005/11/21	120.0	35.16	1.74
212	2005/11/22	120.0	34.27	1.69
213	2005/11/23	120.0	34.45	1.7
214	2005/11/24	120.0	34.65	1.72
215	2005/11/25	120.0	34.59	1.72
216	2005/11/28	120.0	34.36	1.71
217	2005/11/29	120.0	33.81	1.68
218	2005/11/30	120.0	33.83	1.67
219	2005/12/01	120.0	33.72	1.66
220	2005/12/02	120.0	33.29	1.64
221	2005/12/05	120.0	32.3	1.58
222	2005/12/06	120.0	32.38	1.59
223	2005/12/07	120.0	32.54	1.6
224	2005/12/08	120.0	32.4	1.59
225	2005/12/09	120.0	33.21	1.63
226	2005/12/12	120.0	33.43	1.64
227	2005/12/13	120.0	33.38	1.64
228	2005/12/14	120.0	33.76	1.66
229	2005/12/15	120.0	33.47	1.64
230	2005/12/16	120.0	33.88	1.66
231	2005/12/19	120.0	33.76	1.65
232	2005/12/20	120.0	33.73	1.67
233	2005/12/21	120.0	33.35	1.65
234	2005/12/22	120.0	33.59	1.65
235	2005/12/23	120.0	34.07	1.67
236	2005/12/26	120.0	34.6	1.69
237	2005/12/27	120.0	34.5	1.68
238	2005/12/28	120.0	34.76	1.69
239	2005/12/29	120.0	35.2	1.7
240	2005/12/30	120.0	34.8	1.69
241	2006/01/04	119.0	35.6	1.81
242	2006/01/05	119.0	35.96	1.83
243	2006/01/06	119.0	36.39	1.85
244	2006/01/09	119.0	36.99	1.88
245	2006/01/10	119.0	37.14	1.88
246	2006/01/11	119.0	36.89	1.87
247	2006/01/12	119.0	38.12	1.94
248	2006/01/13	119.0	38.33	1.96
249	2006/01/16	119.0	37.57	1.92
250	2006/01/17	119.0	37.57	1.92
251	2006/01/18	119.0	38.78	1.97
252	2006/01/19	119.0	39.14	1.99
253	2006/01/20	119.0	39.05	1.98
254	2006/01/23	119.0	39.11	2.0
255	2006/01/24	119.0	39.89	2.0
256	2006/01/25	119.0	39.56	1.97
257	2006/02/06	119.0	40.17	2.0
258	2006/02/07	119.0	39.62	1.99
259	2006/02/08	119.0	39.69	2.0
260	2006/02/09	119.0	39.09	1.97
261	2006/02/10	119.0	39.37	1.99
262	2006/02/13	119.0	38.96	1.98
263	2006/02/14	119.0	39.34	1.99
264	2006/02/15	119.0	39.25	1.99
265	2006/02/16	119.0	38.18	1.93
266	2006/02/17	119.0	37.41	1.91
267	2006/02/20	119.0	37.16	1.88
268	2006/02/21	119.0	38.12	1.94
269	2006/02/22	119.0	37.76	1.93
270	2006/02/23	119.0	37.53	1.92
271	2006/02/24	119.0	37.88	1.93
272	2006/02/27	119.0	37.7	1.92
273	2006/02/28	119.0	37.78	1.93
274	2006/03/01	119.0	37.95	1.94
275	2006/03/02	119.0	36.98	1.9
276	2006/03/03	119.0	36.87	1.89
277	2006/03/06	119.0	36.46	1.88
278	2006/03/07	119.0	35.25	1.8
279	2006/03/08	119.0	35.13	1.8
280	2006/03/09	119.0	34.73	1.78
281	2006/03/10	119.0	34.75	1.78
282	2006/03/13	119.0	34.92	1.78
283	2006/03/14	119.0	35.0	1.79
284	2006/03/15	119.0	35.37	1.8
285	2006/03/16	119.0	35.27	1.8
286	2006/03/17	119.0	35.36	1.8
287	2006/03/20	119.0	36.29	1.81
288	2006/03/21	119.0	36.55	1.82
289	2006/03/22	119.0	37.65	1.84
290	2006/03/23	119.0	38.11	1.86
291	2006/03/24	119.0	37.68	1.83
292	2006/03/27	119.0	37.86	1.84
293	2006/03/28	119.0	37.74	1.85
294	2006/03/29	119.0	37.84	1.85
295	2006/03/30	119.0	37.86	1.82
296	2006/03/31	119.0	38.2	1.82
297	2006/04/03	119.0	38.33	1.83
298	2006/04/04	119.0	38.88	1.86
299	2006/04/05	119.0	39.43	1.88
300	2006/04/06	119.0	39.65	1.87
301	2006/04/07	119.0	40.31	1.91
302	2006/04/10	119.0	41.32	1.94
303	2006/04/11	119.0	41.12	1.94
304	2006/04/12	119.0	40.5	1.93
305	2006/04/13	119.0	39.62	1.88
306	2006/04/14	119.0	40.19	1.91
307	2006/04/17	119.0	40.66	1.92
308	2006/04/18	119.0	40.3	1.92
309	2006/04/19	119.0	40.28	1.91
310	2006/04/20	119.0	40.8	1.88
311	2006/04/21	119.0	40.98	1.89
312	2006/04/24	119.0	41.28	1.84
313	2006/04/25	119.0	42.0	1.83
314	2006/04/26	119.0	42.81	1.86
315	2006/04/27	119.0	42.81	1.86
316	2006/04/28	119.0	43.34	1.87
317	2006/05/08	118.0	44.71	1.91
318	2006/05/09	118.0	46.22	1.98
319	2006/05/10	118.0	46.98	2.01
320	2006/05/11	118.0	46.28	2.0
321	2006/05/12	118.0	48.4	2.09
322	2006/05/15	118.0	50.27	2.18
323	2006/05/16	118.0	48.45	2.1
324	2006/05/17	118.0	49.2	2.15
325	2006/05/18	118.0	50.08	2.2
326	2006/05/19	118.0	51.04	2.24
327	2006/05/22	118.0	51.38	2.28
328	2006/05/23	118.0	48.53	2.17
329	2006/05/24	118.0	47.16	2.11
330	2006/05/25	118.0	47.71	2.14
331	2006/05/26	118.0	48.92	2.19
332	2006/05/29	118.0	50.08	2.25
333	2006/05/30	118.0	50.21	2.27
334	2006/05/31	118.0	49.49	2.25
335	2006/06/01	118.0	51.66	2.36
336	2006/06/02	118.0	51.89	2.38
337	2006/06/05	118.0	52.54	2.44
338	2006/06/06	118.0	52.13	2.43
339	2006/06/07	118.0	47.97	2.25
340	2006/06/08	118.0	47.7	2.22
341	2006/06/09	118.0	46.19	2.16
342	2006/06/12	118.0	46.36	2.17
343	2006/06/13	118.0	46.67	2.18
344	2006/06/14	118.0	46.12	2.15
345	2006/06/15	118.0	46.19	2.15
346	2006/06/16	118.0	47.49	2.21
347	2006/06/19	118.0	48.24	2.23
348	2006/06/20	118.0	48.61	2.25
349	2006/06/21	118.0	48.18	2.24
350	2006/06/22	118.0	47.98	2.24
351	2006/06/23	118.0	49.51	2.29
352	2006/06/26	118.0	50.24	2.32
353	2006/06/27	118.0	49.93	2.33
354	2006/06/28	118.0	49.75	2.31
355	2006/06/29	118.0	50.66	2.35
356	2006/06/30	118.0	50.21	2.3
357	2006/07/03	118.0	51.4	2.36
358	2006/07/04	118.0	50.96	2.35
359	2006/07/05	118.0	51.37	2.38
360	2006/07/06	118.0	52.68	2.44
361	2006/07/07	118.0	52.24	2.44
362	2006/07/10	118.0	52.4	2.45
363	2006/07/11	118.0	52.56	2.47
364	2006/07/12	118.0	52.09	2.44
365	2006/07/13	118.0	48.07	2.25
366	2006/07/14	118.0	48.46	2.27
367	2006/07/17	118.0	49.16	2.31
368	2006/07/18	118.0	49.71	2.33
369	2006/07/19	118.0	48.29	2.27
370	2006/07/20	118.0	48.63	2.29
371	2006/07/21	118.0	48.85	2.3
372	2006/07/24	118.0	48.66	2.29
373	2006/07/25	119.0	49.45	2.34
374	2006/07/26	119.0	49.59	2.35
375	2006/07/27	119.0	48.88	2.31
376	2006/07/28	119.0	48.15	2.28
377	2006/07/31	119.0	45.76	2.17
378	2006/08/01	119.0	45.28	2.14
379	2006/08/02	119.0	44.91	2.13
380	2006/08/03	119.0	44.9	2.13
381	2006/08/04	119.0	43.55	2.03
382	2006/08/07	119.0	42.6	1.98
383	2006/08/08	119.0	44.14	2.05
384	2006/08/09	119.0	44.12	2.05
385	2006/08/10	119.0	44.62	2.07
386	2006/08/11	119.0	44.74	2.08
387	2006/08/14	119.0	43.16	2.01
388	2006/08/15	119.0	44.07	2.05
389	2006/08/16	118.0	44.48	2.07
390	2006/08/17	118.0	44.38	2.07
391	2006/08/18	118.0	44.18	2.07
392	2006/08/21	118.0	44.7	2.1
393	2006/08/22	118.0	45.15	2.11
394	2006/08/23	120.0	44.81	2.12
395	2006/08/24	119.0	45.18	2.15
396	2006/08/25	119.0	45.37	2.15
397	2006/08/28	119.0	46.34	2.2
398	2006/08/29	119.0	46.75	2.21
399	2006/08/30	119.0	46.98	2.23
400	2006/08/31	119.0	47.14	2.23
401	2006/09/01	119.0	45.92	2.17
402	2006/09/04	119.0	46.91	2.22
403	2006/09/05	119.0	46.94	2.23
404	2006/09/06	119.0	47.51	2.25
405	2006/09/07	119.0	46.64	2.21
406	2006/09/08	119.0	46.6	2.21
