	date	value	pe	pb
0	2005/01/05	303.0	29.3	2.05
1	2005/01/06	303.0	29.04	2.04
2	2005/01/07	303.0	29.09	2.05
3	2005/01/10	303.0	29.29	2.06
4	2005/01/11	303.0	29.39	2.07
5	2005/01/12	303.0	29.42	2.07
6	2005/01/13	303.0	29.43	2.08
7	2005/01/14	303.0	29.09	2.05
8	2005/01/17	303.0	28.37	2.0
9	2005/01/18	303.0	28.68	2.03
10	2005/01/19	303.0	28.48	2.02
11	2005/01/20	303.0	28.04	1.99
12	2005/01/21	303.0	28.64	2.03
13	2005/01/24	303.0	29.13	2.07
14	2005/01/25	303.0	29.0	2.05
15	2005/01/26	303.0	28.66	2.03
16	2005/01/27	303.0	28.22	2.0
17	2005/01/28	303.0	27.84	1.96
18	2005/01/31	303.0	26.99	1.89
19	2005/02/01	303.0	26.81	1.87
20	2005/02/02	303.0	28.26	1.97
21	2005/02/03	303.0	27.55	1.93
22	2005/02/04	304.0	28.09	1.97
23	2005/02/16	304.0	28.43	1.99
24	2005/02/17	304.0	28.48	2.0
25	2005/02/18	304.0	28.17	1.98
26	2005/02/21	304.0	28.67	2.02
27	2005/02/22	304.0	29.49	2.07
28	2005/02/23	304.0	29.72	2.09
29	2005/02/24	304.0	29.84	2.1
30	2005/02/25	304.0	29.84	2.1
31	2005/02/28	304.0	29.75	2.09
32	2005/03/01	304.0	29.72	2.09
33	2005/03/02	304.0	29.18	2.06
34	2005/03/03	304.0	29.32	2.08
35	2005/03/04	304.0	29.08	2.06
36	2005/03/07	304.0	29.35	2.07
37	2005/03/08	304.0	30.01	2.11
38	2005/03/09	304.0	30.13	2.12
39	2005/03/10	304.0	29.35	2.06
40	2005/03/11	304.0	29.55	2.07
41	2005/03/14	304.0	29.77	2.06
42	2005/03/15	304.0	29.25	2.04
43	2005/03/16	304.0	29.0	2.02
44	2005/03/17	304.0	28.61	1.99
45	2005/03/18	304.0	28.01	1.95
46	2005/03/21	304.0	28.05	1.96
47	2005/03/22	305.0	27.47	1.9
48	2005/03/23	305.0	27.33	1.89
49	2005/03/24	305.0	27.57	1.92
50	2005/03/25	306.0	27.65	1.92
51	2005/03/28	305.0	27.47	1.89
52	2005/03/29	305.0	27.29	1.88
53	2005/03/30	305.0	26.31	1.82
54	2005/03/31	305.0	26.79	1.8
55	2005/04/01	305.0	27.74	1.87
56	2005/04/04	305.0	27.2	1.83
57	2005/04/05	305.0	26.89	1.81
58	2005/04/06	305.0	27.61	1.84
59	2005/04/07	305.0	27.99	1.87
60	2005/04/08	305.0	28.59	1.9
61	2005/04/11	305.0	28.47	1.9
62	2005/04/12	306.0	27.89	1.86
63	2005/04/13	306.0	28.71	1.91
64	2005/04/14	306.0	28.27	1.88
65	2005/04/15	306.0	27.61	1.83
66	2005/04/18	305.0	27.38	1.81
67	2005/04/19	305.0	27.37	1.81
68	2005/04/20	305.0	27.02	1.77
69	2005/04/21	305.0	26.58	1.73
70	2005/04/22	305.0	26.54	1.69
71	2005/04/25	305.0	25.94	1.65
72	2005/04/26	305.0	26.55	1.68
73	2005/04/27	305.0	25.91	1.65
74	2005/04/28	305.0	25.81	1.7
75	2005/04/29	305.0	25.27	1.67
76	2005/05/09	306.0	24.41	1.61
77	2005/05/10	306.0	24.34	1.6
78	2005/05/11	306.0	24.11	1.6
79	2005/05/12	306.0	23.96	1.59
80	2005/05/13	306.0	24.19	1.61
81	2005/05/16	306.0	23.97	1.6
82	2005/05/17	306.0	24.24	1.62
83	2005/05/18	306.0	24.38	1.63
84	2005/05/19	306.0	24.41	1.64
85	2005/05/20	306.0	24.3	1.63
86	2005/05/23	306.0	23.54	1.57
87	2005/05/24	306.0	23.96	1.61
88	2005/05/25	306.0	23.99	1.62
89	2005/05/26	307.0	23.73	1.61
90	2005/05/27	307.0	23.51	1.6
91	2005/05/30	307.0	23.73	1.62
92	2005/05/31	307.0	23.7	1.62
93	2005/06/01	307.0	23.08	1.58
94	2005/06/02	307.0	22.64	1.56
95	2005/06/03	307.0	22.59	1.56
96	2005/06/06	307.0	23.04	1.58
97	2005/06/07	308.0	23.06	1.59
98	2005/06/08	308.0	24.9	1.71
99	2005/06/09	308.0	25.15	1.72
100	2005/06/10	308.0	24.67	1.69
101	2005/06/13	308.0	24.75	1.7
102	2005/06/14	308.0	24.32	1.67
103	2005/06/15	308.0	23.76	1.63
104	2005/06/16	308.0	24.02	1.64
105	2005/06/17	308.0	23.83	1.63
106	2005/06/20	308.0	24.57	1.67
107	2005/06/21	308.0	24.33	1.66
108	2005/06/22	308.0	24.41	1.67
109	2005/06/23	308.0	24.19	1.65
110	2005/06/24	308.0	24.3	1.65
111	2005/06/27	308.0	24.97	1.7
112	2005/06/28	308.0	24.51	1.66
113	2005/06/29	308.0	24.41	1.65
114	2005/06/30	308.0	23.71	1.61
115	2005/07/01	308.0	22.79	1.53
116	2005/07/04	308.0	22.52	1.51
117	2005/07/05	308.0	22.35	1.5
118	2005/07/06	308.0	22.29	1.49
119	2005/07/07	308.0	22.34	1.5
120	2005/07/08	308.0	21.56	1.44
121	2005/07/11	308.0	21.23	1.42
122	2005/07/12	308.0	22.0	1.47
123	2005/07/13	308.0	21.81	1.46
124	2005/07/14	308.0	21.83	1.46
125	2005/07/15	308.0	21.34	1.42
126	2005/07/18	308.0	20.76	1.37
127	2005/07/19	308.0	20.91	1.39
128	2005/07/20	308.0	21.03	1.39
129	2005/07/21	308.0	20.93	1.39
130	2005/07/22	308.0	21.42	1.43
131	2005/07/25	308.0	21.31	1.42
132	2005/07/26	308.0	21.79	1.46
133	2005/07/27	308.0	22.3	1.49
134	2005/07/28	308.0	22.21	1.48
135	2005/07/29	308.0	22.09	1.48
136	2005/08/01	308.0	22.25	1.49
137	2005/08/02	308.0	22.61	1.52
138	2005/08/03	308.0	22.88	1.54
139	2005/08/04	308.0	22.75	1.52
140	2005/08/05	308.0	23.36	1.57
141	2005/08/08	308.0	23.65	1.58
142	2005/08/09	308.0	24.05	1.61
143	2005/08/10	308.0	24.27	1.63
144	2005/08/11	309.0	24.63	1.66
145	2005/08/12	309.0	24.29	1.63
146	2005/08/15	310.0	24.97	1.67
147	2005/08/16	310.0	24.71	1.67
148	2005/08/17	310.0	25.18	1.71
149	2005/08/18	310.0	24.07	1.64
150	2005/08/19	309.0	24.06	1.64
151	2005/08/22	309.0	24.02	1.67
152	2005/08/23	309.0	23.53	1.64
153	2005/08/24	309.0	23.85	1.66
154	2005/08/25	309.0	24.08	1.68
155	2005/08/26	309.0	24.08	1.69
156	2005/08/29	310.0	23.99	1.68
157	2005/08/30	310.0	23.9	1.67
158	2005/08/31	310.0	24.48	1.7
159	2005/09/01	310.0	25.05	1.75
160	2005/09/02	310.0	25.22	1.76
161	2005/09/05	310.0	25.57	1.79
162	2005/09/06	310.0	24.98	1.75
163	2005/09/07	310.0	25.63	1.8
164	2005/09/08	310.0	25.61	1.8
165	2005/09/09	310.0	25.4	1.78
166	2005/09/12	310.0	25.52	1.79
167	2005/09/13	310.0	26.08	1.83
168	2005/09/14	310.0	26.29	1.85
169	2005/09/15	310.0	26.38	1.86
170	2005/09/16	309.0	26.35	1.86
171	2005/09/19	309.0	26.6	1.89
172	2005/09/20	309.0	26.38	1.88
173	2005/09/21	308.0	25.92	1.84
174	2005/09/22	308.0	25.19	1.77
175	2005/09/23	308.0	24.94	1.75
176	2005/09/26	308.0	25.12	1.76
177	2005/09/27	308.0	24.63	1.71
178	2005/09/28	308.0	24.52	1.7
179	2005/09/29	308.0	24.97	1.74
180	2005/09/30	308.0	24.96	1.72
181	2005/10/10	308.0	24.6	1.69
182	2005/10/11	308.0	25.08	1.73
183	2005/10/12	308.0	25.29	1.75
184	2005/10/13	308.0	25.16	1.73
185	2005/10/14	308.0	24.87	1.71
186	2005/10/17	308.0	24.73	1.71
187	2005/10/18	308.0	25.1	1.74
188	2005/10/19	308.0	24.76	1.73
189	2005/10/20	308.0	24.71	1.73
190	2005/10/21	308.0	24.93	1.74
191	2005/10/24	308.0	24.91	1.74
192	2005/10/25	308.0	24.49	1.7
193	2005/10/26	308.0	23.73	1.65
194	2005/10/27	308.0	23.44	1.64
195	2005/10/28	308.0	22.68	1.59
196	2005/10/31	308.0	23.01	1.61
197	2005/11/01	308.0	22.81	1.59
198	2005/11/02	308.0	23.16	1.63
199	2005/11/03	308.0	22.84	1.61
200	2005/11/04	308.0	23.01	1.62
201	2005/11/07	308.0	23.13	1.64
202	2005/11/08	308.0	23.2	1.65
203	2005/11/09	308.0	23.09	1.64
204	2005/11/10	308.0	22.36	1.58
205	2005/11/11	308.0	22.38	1.59
206	2005/11/14	308.0	22.36	1.6
207	2005/11/15	308.0	22.08	1.58
208	2005/11/16	308.0	22.18	1.6
209	2005/11/17	308.0	22.12	1.59
210	2005/11/18	308.0	22.7	1.63
211	2005/11/21	308.0	22.81	1.64
212	2005/11/22	308.0	22.4	1.6
213	2005/11/23	308.0	22.57	1.62
214	2005/11/24	308.0	22.64	1.62
215	2005/11/25	308.0	22.66	1.63
216	2005/11/28	308.0	22.58	1.62
