	date	value	pe	pb
0	2005/01/05	62.0	24.93	1.91
1	2005/01/06	62.0	24.57	1.88
2	2005/01/07	62.0	24.48	1.88
3	2005/01/10	62.0	24.66	1.89
4	2005/01/11	62.0	24.73	1.9
5	2005/01/12	62.0	24.64	1.89
6	2005/01/13	62.0	24.59	1.89
7	2005/01/14	62.0	24.35	1.87
8	2005/01/17	62.0	23.03	1.78
9	2005/01/18	62.0	23.09	1.78
10	2005/01/19	62.0	23.02	1.78
11	2005/01/20	62.0	22.42	1.73
12	2005/01/21	62.0	23.14	1.78
13	2005/01/24	62.0	23.58	1.82
14	2005/01/25	62.0	23.28	1.79
15	2005/01/26	62.0	22.98	1.77
16	2005/01/27	62.0	22.8	1.75
17	2005/01/28	62.0	22.48	1.72
18	2005/01/31	62.0	22.1	1.68
19	2005/02/01	62.0	22.44	1.71
20	2005/02/02	62.0	23.65	1.8
21	2005/02/03	63.0	23.14	1.76
22	2005/02/04	63.0	23.37	1.78
23	2005/02/16	63.0	23.52	1.8
24	2005/02/17	63.0	23.57	1.8
25	2005/02/18	63.0	23.29	1.79
26	2005/02/21	63.0	23.75	1.82
27	2005/02/22	63.0	24.42	1.87
28	2005/02/23	63.0	24.54	1.88
29	2005/02/24	63.0	24.54	1.88
30	2005/02/25	63.0	24.66	1.89
31	2005/02/28	63.0	24.37	1.88
32	2005/03/01	63.0	24.19	1.87
33	2005/03/02	63.0	24.16	1.87
34	2005/03/03	64.0	24.34	1.89
35	2005/03/04	64.0	24.62	1.9
36	2005/03/07	64.0	24.55	1.9
37	2005/03/08	64.0	25.56	1.93
38	2005/03/09	64.0	25.68	1.94
39	2005/03/10	64.0	24.99	1.89
40	2005/03/11	64.0	25.04	1.89
41	2005/03/14	64.0	25.1	1.86
42	2005/03/15	64.0	24.53	1.82
43	2005/03/16	64.0	24.28	1.8
44	2005/03/17	64.0	24.09	1.78
45	2005/03/18	64.0	23.78	1.75
46	2005/03/21	64.0	23.8	1.76
47	2005/03/22	64.0	22.53	1.68
48	2005/03/23	64.0	22.44	1.68
49	2005/03/24	64.0	22.71	1.7
50	2005/03/25	64.0	22.7	1.7
51	2005/03/28	64.0	22.48	1.69
52	2005/03/29	64.0	22.33	1.67
53	2005/03/30	64.0	22.15	1.62
54	2005/03/31	64.0	22.61	1.6
55	2005/04/01	64.0	23.44	1.66
56	2005/04/04	64.0	23.29	1.66
57	2005/04/05	64.0	23.02	1.63
58	2005/04/06	64.0	23.81	1.68
59	2005/04/07	64.0	23.99	1.69
60	2005/04/08	64.0	23.97	1.72
61	2005/04/11	64.0	23.86	1.7
62	2005/04/12	64.0	23.3	1.66
63	2005/04/13	64.0	24.24	1.71
64	2005/04/14	64.0	23.88	1.68
65	2005/04/15	64.0	23.48	1.64
66	2005/04/18	64.0	23.0	1.61
67	2005/04/19	64.0	23.23	1.61
68	2005/04/20	64.0	22.57	1.56
69	2005/04/21	64.0	22.26	1.53
70	2005/04/22	64.0	22.31	1.51
71	2005/04/25	63.0	21.38	1.46
72	2005/04/26	63.0	22.06	1.49
73	2005/04/27	63.0	21.96	1.47
74	2005/04/28	63.0	22.44	1.5
75	2005/04/29	63.0	22.41	1.5
76	2005/05/09	63.0	21.77	1.46
77	2005/05/10	63.0	21.76	1.47
78	2005/05/11	63.0	21.52	1.45
79	2005/05/12	63.0	21.28	1.44
80	2005/05/13	63.0	21.33	1.45
81	2005/05/16	63.0	21.0	1.43
82	2005/05/17	63.0	21.19	1.45
83	2005/05/18	63.0	21.36	1.46
84	2005/05/19	63.0	21.47	1.47
85	2005/05/20	63.0	21.47	1.47
86	2005/05/23	63.0	21.01	1.43
87	2005/05/24	63.0	21.12	1.45
88	2005/05/25	63.0	21.15	1.46
89	2005/05/26	63.0	20.94	1.44
90	2005/05/27	63.0	20.64	1.43
91	2005/05/30	63.0	20.74	1.45
92	2005/05/31	63.0	20.73	1.45
93	2005/06/01	63.0	20.27	1.42
94	2005/06/02	63.0	19.83	1.4
95	2005/06/03	63.0	19.66	1.38
96	2005/06/06	63.0	19.93	1.4
97	2005/06/07	63.0	19.9	1.4
