螺丝钉定投	总市值	24937.19	累计收益	935.27
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
大成中证红利指数A	090010	1.6562	2804.87	4628.04	-17.28
银河沪深300价值指数	519671	1.4358	3115.88	4471.29	-2.6
景顺长城中证500低波动	003318	0.9388	4201.88	4078.76	133.97
华宝香港中小	501021	1.3481	2260.14	3381.85	334.91
嘉实深证基本面120联接	070023	1.7987	1363.37	2657.34	205.06
建信深证基本面60ETF联接A	530015	2.136	1134.65	2564.65	141.07
广发中证养老	000968	0.9589	1067.42	1078.84	55.33
天弘中证银行指数A	001594	1.2511	550.61	662.6	-26.28
华宝红利基金	501029	0.9827	550.4	541.98	1.09
天弘中证医药100A	001550	0.6708	531.87	450.65	93.87
华夏上证50AH优选指数	501050	1.2636	247.91	333.69	20.43
申万菱信沪深300价值指数	310398	1.4374	64.5	87.49	-5.22
大成景安短融债券E	002086	1.2256	0	0	0.91
