10万补充ETF计划	总市值	38646.85	累计收益	2828.95
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
建信中证500指数增强A	000478	1.9252	4157.52	8386.55	382.55
广发中证环保ETF联接A	001064	0.5489	9722	5830.28	494.28
广发养老指数A	000968	0.9444	4943.96	5094.26	425.26
华夏中证500ETF联接A	001052	0.5423	7379.54	4309.65	307.65
广发中证传媒ETF联接A	004752	0.7329	4550.55	4058.64	723.64
富国中证红利指数增强	100032	1.0919	3665.01	3958.21	-43.79
易方达创业板ETF联接A	110026	1.6649	400.63	824.86	157.86
广发创业板ETF联接A	003765	0.9059	736.3	819.35	152.35
广发医药卫生联接A	001180	0.8242	809.28	778.45	111.45
易方达证券公司分级	502010	0.9853	473.85	475.37	8.47
华宝标普石油指数A	162411	0.3775	5299.96	1839.09	-161.91
交银中证海外中国互联网指数	164906	1.1564	576.8	816.75	149.75
华夏恒生ETF联接A	000071	1.451	459.67	707.85	40.85
华安德国30(DAX)联接	000614	1.0903	611.75	747.56	80.56
