开始日期	结束日期	开始	结束	幅度	持有期
2005/01/04	2007/05/29	986.93	4853.64	391.79%	875
2007/05/29	2007/07/05	4853.64	3380.18	-30.36%	37
2007/07/05	2008/01/15	3380.18	5487.09	62.33%	194
2008/01/15	2008/11/04	5487.09	1513.49	-72.42%	294
2008/11/04	2010/11/10	1513.49	5484.74	262.39%	736
2010/11/10	2012/12/03	5484.74	2749.13	-49.88%	754
2012/12/03	2015/06/12	2749.13	11545.89	319.98%	921
2015/06/12	2015/07/08	11545.89	6602.37	-42.82%	26
2015/07/08	2015/08/17	6602.37	8820.46	33.6%	40
2015/08/17	2015/09/15	8820.46	5708.03	-35.29%	29
2015/09/15	2015/11/25	5708.03	7922.38	38.79%	71
2015/11/25	2018/10/18	7922.38	4018.46	-49.28%	1058
2018/10/18	2019/10/11	4018.46	5055.52	25.81%	358
