开始日期	结束日期	开始	结束	幅度	持有期
1996/05/10	1996/12/11	152.5	473.02	210.18%	215
1996/12/11	1996/12/24	473.02	285.76	-39.59%	13
1996/12/24	1997/05/12	285.76	517.9	81.24%	139
1997/05/12	1997/09/23	517.9	312.72	-39.62%	134
1997/09/23	2001/06/13	312.72	664.85	112.6%	1359
2001/06/13	2002/01/22	664.85	371.79	-44.08%	223
2002/01/22	2002/06/24	371.79	512.37	37.81%	153
2002/06/24	2003/11/18	512.37	350.73	-31.55%	512
2003/11/18	2004/04/07	350.73	470.54	34.16%	141
2004/04/07	2005/07/18	470.54	237.18	-49.59%	467
2005/07/18	2008/01/15	237.18	1576.5	564.69%	911
2008/01/15	2008/11/04	1576.5	456.97	-71.01%	294
2008/11/04	2010/11/10	456.97	1389.54	204.08%	736
2010/11/10	2012/12/03	1389.54	734.28	-47.16%	754
2012/12/03	2015/06/12	734.28	3140.66	327.72%	921
2015/06/12	2015/09/15	3140.66	1580.26	-49.68%	95
2015/09/15	2015/12/22	1580.26	2379.63	50.58%	98
2015/12/22	2016/01/28	2379.63	1629.07	-31.54%	37
2016/01/28	2016/11/22	1629.07	2137.88	31.23%	299
2016/11/22	2018/10/18	2137.88	1232.01	-42.37%	695
2018/10/18	2019/10/11	1232.01	1636.96	32.87%	358
