	code	name	market_cap	weight
0		万科A		0.811
1		华联控股		1.317
2		中联重科		0.996
3		美的集团		0.667
4		潍柴动力		1.374
5		金融街		0.868
6		粤高速A		1.242
7		晨鸣纸业		0.978
8		佛山照明		0.953
9		江铃汽车		4.082
10		泸州老窖		0.673
11		建投能源		0.732
12		长安汽车		1.163
13		顺发恒业		1.23
14		金科股份		1.072
15		鲁泰A		0.987
16		广发证券		0.566
17		东莞控股		0.645
18		承德露露		1.012
19		新希望		1.527
20		双汇发展		1.095
21		招商港口		0.959
22		新和成		0.569
23		世荣兆业		1.137
24		孚日股份		1.13
25		三钢闽光		1.099
26		宁波银行		0.532
27		荣盛发展		1.19
28		海利得		0.783
29		洋河股份		0.61
30		康力电梯		1.546
31		伟星新材		0.795
32		天虹股份		0.622
33		常宝股份		1.208
34		万和电气		0.731
35		龙蟒佰利		1.845
36		东易日盛		1.051
37		华能国际		0.492
38		皖通高速		0.519
39		民生银行		0.467
40		上港集团		0.691
41		宝钢股份		0.887
42		中原高速		0.958
43		浙能电力		0.783
44		中国石化		1.269
45		福建高速		0.851
46		招商银行		0.753
47		保利地产		0.713
48		宇通客车		0.817
49		上汽集团		1.249
50		建发股份		0.627
51		香江控股		1.125
52		雅戈尔		0.975
53		生益科技		0.79
54		赣粤高速		0.736
55		平高电气		0.604
56		华发股份		1.486
57		山东高速		0.752
58		首开股份		1.439
59		宁沪高速		0.954
60		金地集团		1.524
61		海澜之家		1.05
62		方大特钢		1.985
63		法拉电子		0.572
64		海螺水泥		0.736
65		申能股份		0.821
66		福耀玻璃		0.888
67		哈药股份		3.174
68		川投能源		0.711
69		上海石化		0.945
70		物产中大		0.898
71		华域汽车		1.087
72		华远地产		0.658
73		国电电力		0.643
74		上海机电		0.507
75		梅花生物		1.447
76		国投电力		0.544
77		伊利股份		0.69
78		厦门空港		1.009
79		长江电力		1.088
80		大秦铁路		0.884
81		南京银行		0.76
82		中国神华		2.078
83		重庆水务		0.954
84		兴业银行		0.882
85		农业银行		0.993
86		交通银行		0.979
87		工商银行		0.902
88		九牧王		1.429
89		中国太保		0.503
90		旗滨集团		1.101
91		中国建筑		0.494
92		光大银行		0.743
93		正泰电器		0.622
94		建设银行		0.893
95		中国银行		0.953
96		中信银行		0.838
97		奥康国际		0.762
98		依顿电子		1.48
99		隆鑫通用		1.041
