	code	name	market_cap	weight
0		TCL集团		1.723
1		东阿阿胶		1.09
2		国新健康		1.511
3		云南白药		1.147
4		天茂集团		1.198
5		长春高新		1.661
6		中信国安		1.678
7		华东医药		1.206
8		新和成		1.136
9		苏泊尔		1.394
10		美年健康		1.188
11		上海莱士		0.622
12		奥飞娱乐		1.296
13		信立泰		1.236
14		延安必康		0.867
15		科伦药业		1.343
16		老板电器		1.608
17		中顺洁柔		1.104
18		恺英网络		1.173
19		三七互娱		1.13
20		巨人网络		1.184
21		完美世界		1.204
22		康弘药业		1.434
23		周大生		1.277
24		盈趣科技		1.222
25		乐普医疗		1.12
26		爱尔眼科		1.192
27		网宿科技		1.68
28		华谊兄弟		1.121
29		东方财富		1.548
30		智飞生物		1.296
31		沃森生物		1.373
32		宋城演艺		1.181
33		汤臣倍健		1.153
34		腾邦国际		1.205
35		捷成股份		1.432
36		光线传媒		1.128
37		光环新网		1.533
38		芒果超媒		1.16
39		昆仑万维		1.106
40		华大基因		1.412
41		华宝股份		1.407
42		九鼎投资		1.472
43		黄山旅游		1.22
44		同仁堂		1.063
45		复星医药		1.184
46		首旅酒店		1.314
47		恒瑞医药		1.361
48		安迪苏		1.098
49		上海家化		1.177
50		白云山		1.075
51		片仔癀		1.382
52		康美药业		1.001
53		天士力		1.151
54		济川药业		1.047
55		东方明珠		1.255
56		锦江股份		1.239
57		通化东宝		1.149
58		伊利股份		1.318
59		江苏租赁		1.236
60		江苏有线		1.274
61		中国电影		1.266
62		九州通		1.091
63		山东出版		1.18
64		中南传媒		1.11
65		中国平安		1.268
66		新华保险		1.28
67		三六零		1.211
68		中国太保		1.173
69		上海医药		1.19
70		中国人寿		1.36
71		中国国旅		1.216
72		永辉超市		1.155
73		养元饮品		1.39
74		东方时尚		1.345
75		科沃斯		1.221
76		塞力斯		1.29
77		步长制药		1.11
78		桃李面包		1.252
79		飞科电器		1.196
