	code	name	market_cap	weight
0		平安银行		0.911
1		万科A		1.236
2		中兴通讯		0.575
3		华侨城A		0.261
4		TCL集团		0.364
5		中联重科		0.167
6		申万宏源		0.309
7		美的集团		1.871
8		潍柴动力		0.475
9		金融街		0.085
10		藏格控股		0.06
11		东旭光电		0.192
12		渤海租赁		0.071
13		东阿阿胶		0.18
14		徐工机械		0.171
15		国新健康		0.166
16		云南白药		0.368
17		安道麦A		0.024
18		泸州老窖		0.404
19		长安汽车		0.134
20		天茂集团		0.084
21		铜陵有色		0.134
22		格力电器		1.88
23		长春高新		0.357
24		阳光城		0.112
25		恒逸石化		0.144
26		河钢股份		0.12
27		京东方A		0.765
28		国元证券		0.175
29		中航飞机		0.195
30		广发证券		0.396
31		长江证券		0.241
32		北新建材		0.141
33		盐湖股份		0.078
34		启迪桑德		0.092
35		中信国安		0.135
36		五粮液		1.526
37		新希望		0.232
38		双汇发展		0.212
39		鞍钢股份		0.087
40		紫光股份		0.074
41		首钢股份		0.058
42		中南建设		0.146
43		华东医药		0.197
44		西山煤电		0.081
45		招商公路		0.042
46		招商蛇口		0.452
47		新和成		0.131
48		华兰生物		0.208
49		大族激光		0.298
50		苏宁易购		0.387
51		分众传媒		0.381
52		苏泊尔		0.102
53		美年健康		0.288
54		三花智控		0.138
55		东华软件		0.137
56		金螳螂		0.155
57		万丰奥威		0.088
58		韵达股份		0.044
59		宁波银行		0.458
60		荣盛发展		0.162
61		石基信息		0.086
62		中航光电		0.133
63		金风科技		0.333
64		科大讯飞		0.44
65		大华股份		0.244
66		歌尔股份		0.169
67		上海莱士		0.119
68		东方雨虹		0.157
69		信立泰		0.094
70		洋河股份		0.651
71		东方园林		0.088
72		海大集团		0.185
73		顺丰控股		0.147
74		延安必康		0.052
75		海康威视		1.071
76		科伦药业		0.207
77		ST康得新		0.104
78		欧菲光		0.223
79		赣锋锂业		0.178
80		天齐锂业		0.199
81		申通快递		0.059
82		立讯精密		0.507
83		荣盛石化		0.131
84		老板电器		0.126
85		三七互娱		0.073
86		巨人网络		0.111
87		索菲亚		0.137
88		比亚迪		0.401
89		龙蟒佰利		0.081
90		世纪华通		0.075
91		完美世界		0.104
92		光启技术		0.041
93		西部证券		0.167
94		牧原股份		0.328
95		国信证券		0.276
96		康弘药业		0.057
97		第一创业		0.137
98		盈趣科技		0.043
99		乐普医疗		0.234
100		爱尔眼科		0.268
101		网宿科技		0.153
102		机器人		0.173
103		同花顺		0.178
104		东方财富		0.58
105		碧水源		0.147
106		三聚环保		0.102
107		智飞生物		0.203
108		汇川技术		0.217
109		信维通信		0.186
110		沃森生物		0.26
111		宋城演艺		0.139
112		光线传媒		0.063
113		利亚德		0.112
114		三环集团		0.179
115		蓝思科技		0.056
116		浦发银行		1.096
117		白云机场		0.127
118		上海机场		0.496
119		包钢股份		0.276
120		华能国际		0.239
121		华夏银行		0.42
122		民生银行		1.302
123		上港集团		0.195
124		宝钢股份		0.533
125		浙能电力		0.164
126		华能水电		0.061
127		华电国际		0.118
128		中国石化		0.59
129		南方航空		0.243
130		中信证券		1.614
131		三一重工		0.62
132		招商银行		2.895
133		中直股份		0.114
134		保利地产		0.841
135		中国联通		0.523
136		国投资本		0.102
137		宇通客车		0.148
138		葛洲坝		0.166
139		同仁堂		0.136
140		特变电工		0.255
141		同方股份		0.212
142		上汽集团		0.756
143		国金证券		0.215
144		北方稀土		0.201
145		东方航空		0.225
146		中国卫星		0.123
147		建发股份		0.122
148		永泰能源		0.112
149		上海建工		0.138
150		中国巨石		0.186
151		雅戈尔		0.189
152		兖州煤业		0.078
153		复星医药		0.248
154		新湖中宝		0.14
155		南山铝业		0.158
156		海航控股		0.208
157		圆通速递		0.041
158		航天信息		0.258
159		恒瑞医药		1.435
160		广汇汽车		0.108
161		万华化学		0.591
162		白云山		0.181
163		中油工程		0.063
164		华夏幸福		0.463
165		恒力股份		0.116
166		浙江龙盛		0.37
167		江西铜业		0.134
168		西南证券		0.129
169		中航电子		0.073
170		金地集团		0.257
171		五矿资本		0.044
172		海澜之家		0.145
173		国电南瑞		0.32
174		小商品城		0.107
175		片仔癀		0.287
176		通威股份		0.195
177		中国动力		0.152
178		亨通光电		0.234
179		中金黄金		0.122
180		烽火通信		0.183
181		方大炭素		0.201
182		康美药业		0.258
183		贵州茅台		3.551
184		中天科技		0.202
185		天士力		0.169
186		山东黄金		0.191
187		厦门钨业		0.106
188		济川药业		0.093
189		恒生电子		0.358
190		海油工程		0.118
191		海螺水泥		0.632
192		用友网络		0.269
193		绿地控股		0.228
194		东方明珠		0.211
195		福耀玻璃		0.282
196		川投能源		0.136
197		上海石化		0.098
198		青岛海尔		0.518
199		三安光电		0.297
200		物产中大		0.081
201		中航资本		0.22
202		辽宁成大		0.152
203		华域汽车		0.266
204		中航沈飞		0.114
205		国电电力		0.261
206		山西汾酒		0.13
207		安信信托		0.131
208		海通证券		0.94
209		通化东宝		0.205
210		国投电力		0.28
211		伊利股份		1.464
212		航发动力		0.197
213		长江电力		0.921
214		华安证券		0.107
215		江苏银行		0.409
216		杭州银行		0.146
217		东方证券		0.353
218		中国电影		0.11
219		九州通		0.073
220		招商证券		0.415
221		大秦铁路		0.41
222		南京银行		0.389
223		隆基股份		0.422
224		宁波港		0.142
225		春秋航空		0.092
226		中信建投		0.095
227		中国神华		0.321
228		财通证券		0.043
229		中国国航		0.268
230		中国化学		0.106
231		工业富联		0.144
232		新城控股		0.337
233		兴业银行		1.874
234		北京银行		0.759
235		中国铁建		0.438
236		东兴证券		0.157
237		国泰君安		0.752
238		白银有色		0.032
239		君正集团		0.111
240		陕西煤业		0.295
241		广州港		0.078
242		上海银行		0.542
243		广汽集团		0.09
244		农业银行		1.182
245		中国平安		6.911
246		交通银行		1.419
247		广深铁路		0.1
248		新华保险		0.371
249		三六零		0.087
250		兴业证券		0.281
251		中国中铁		0.448
252		工商银行		0.994
253		东吴证券		0.201
254		中国铝业		0.227
255		中国太保		0.885
256		上海医药		0.197
257		中国核建		0.059
258		中国中冶		0.208
259		中国人寿		0.39
260		长城汽车		0.078
261		中国建筑		1.063
262		中国电建		0.292
263		华泰证券		0.606
264		上海电气		0.174
265		中国中车		0.733
266		光大证券		0.213
267		中国交建		0.243
268		中海油服		0.05
269		光大银行		0.54
270		美凯龙		0.034
271		成都银行		0.029
272		中国石油		0.509
273		正泰电器		0.191
274		浙商证券		0.128
275		中国银河		0.126
