	code	name	market_cap	weight
0		申万宏源		3.294
1		东北证券		1.262
2		锦龙股份		0.566
3		国元证券		1.863
4		国海证券		1.604
5		广发证券		4.224
6		长江证券		2.573
7		越秀金控		0.266
8		山西证券		1.437
9		国盛金控		1.023
10		西部证券		1.782
11		国信证券		2.94
12		第一创业		1.458
13		华西证券		0.571
14		中信证券		15.779
15		国投资本		1.084
16		国金证券		2.294
17		华创阳安		0.583
18		西南证券		1.378
19		华鑫股份		0.591
20		海通证券		10.021
21		华安证券		1.143
22		东方证券		3.767
23		招商证券		4.422
24		中信建投		1.008
25		太平洋		2.545
26		财通证券		0.46
27		东兴证券		1.68
28		国泰君安		8.021
29		中原证券		0.595
30		兴业证券		3.0
31		东吴证券		2.144
32		华泰证券		6.461
33		光大证券		2.269
34		浙商证券		1.366
35		中国银河		1.346
36		方正证券		2.79
37		南京证券		0.393
