父螺丝钉	总市值	10272.01	累计收益	462
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
银河沪深300价值指数	519671	1.4308	1334.02	1945.47	-2.44
大成中证红利指数A	090010	1.6528	1139.64	1929.86	9.34
景顺长城中证500低波动	003318	0.9401	1697.75	1709.8	113.73
华宝香港中小	501021	1.3485	898.04	1326.05	115.08
建信深证基本面60ETF联接A	530015	2.128	439.46	1022.32	87.15
嘉实深证基本面120联接	070023	1.7966	492.58	992.2	107.22
天弘中证银行指数A	001594	1.2089	345.79	439.31	-16.24
广发中证养老	000968	0.9599	390.82	408.37	33.22
易方达中概互联50ETF联接人民币A	006327	1.18	278.81	348.34	-15.78
华夏上证50AH优选指数	501050	1.2891	62.09	82.02	1.98
申万菱信沪深300价值指数	310398	1.4372	25.8	34.95	-2.13
易方达标普信息科技	161128	0	0	33.32	0
天弘中证医药100A	001550	0.6708	0	0	45
大成景安短融债券E	002086	1.2258	0	0	0.27
华宝红利基金	501029	0.9829	0	0	-14.4
