母螺丝钉	总市值	11261.64	累计收益	752.4
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
大成中证红利指数A	090010	1.6563	1276.84	2168.07	53.27
银河沪深300价值指数	519671	1.4308	1403.99	2056.85	47.97
景顺长城中证500低波动	003318	0.9407	1797.43	1852.79	161.98
华宝香港中小	501021	1.3514	915.97	1358.57	144.73
建信深证基本面60ETF联接A	530015	2.1418	469.05	1125.77	121.17
嘉实深证基本面120联接	070023	1.7992	528.99	1097.65	145.91
天弘中证银行指数A	001594	1.2095	427.43	510.86	-6.1
广发中证养老	000968	0.9588	426.97	461.43	52.04
易方达中概互联50ETF联接人民币A	006327	1.1751	319.7	365.99	-9.7
华夏上证50AH优选指数	501050	1.284	142.1	193.4	10.95
申万菱信沪深300价值指数	310398	1.4372	25.8	35.84	-1.24
易方达标普信息科技	161128	1.7828	18.69	34.43	1.11
天弘中证医药100A	001550	0.6708	0	0	45
大成景安短融债券E	002086	1.2257	0	0	0.44
华宝红利基金	501029	0.9824	0	0	-15.12
