1990-12-31	2654.28	2633.66	-0.78%
1991-12-31	2633.66	3168.83	20.32%
1992-12-31	3168.83	3301.11	4.17%
1993-12-31	3300.57	3754.09	13.74%
1994-12-30	3753.53	3834.44	2.16%
1995-12-29	3834.10	5117.12	33.46%
1996-12-31	5117.12	6448.26	26.01%
1997-12-31	6454.81	7908.24	22.52%
1998-12-31	7910.49	9181.43	16.07%
1999-12-31	9184.01	11497.12	25.19%
2000-12-29	11501.85	10786.85	-6.22%
2001-12-31	10790.92	10021.50	-7.13%
2002-12-31	10021.71	8341.63	-16.76%
2003-12-31	8342.38	10453.92	25.31%
2004-12-31	10452.74	10783.01	3.16%
2005-12-30	10783.75	10717.50	-0.61%
2006-12-29	10718.30	12463.15	16.28%
2007-12-31	12459.54	13264.82	6.46%
2008-12-31	13261.82	8776.39	-33.82%
2009-12-31	8772.25	10428.05	18.88%
2010-12-31	10430.69	11577.51	10.99%
2011-12-30	11577.43	12217.56	5.53%
2012-12-31	12227.85	13104.14	7.17%
2013-12-31	13104.30	16576.66	26.5%
2014-12-31	16572.17	17823.07	7.55%
2015-12-31	17823.07	17425.03	-2.23%
2016-12-30	17405.48	19762.60	13.54%
2017-12-29	19872.86	24719.22	24.39%
2018-12-31	24830.44	23327.46	-6.05%
2019-11-06	23012.74	27492.56	19.47%
