1986-12-31	16.13	17.94	11.22%
1987-12-31	17.95	16.70	-6.96%
1988-12-30	16.90	17.24	2.01%
1989-12-29	17.25	21.82	26.49%
1990-12-31	21.80	28.44	30.46%
1991-12-31	28.12	19.12	-32.01%
1992-12-31	19.11	19.50	2.04%
1993-12-30	19.46	14.17	-27.18%
1994-12-30	14.11	17.76	25.87%
1995-12-29	17.79	19.55	9.89%
1996-12-31	19.52	25.92	32.79%
1997-12-31	25.88	17.64	-31.84%
1998-12-31	17.68	12.05	-31.84%
1999-12-30	12.15	25.60	110.7%
2000-12-29	25.20	26.80	6.35%
2001-12-31	26.90	19.84	-26.25%
2002-12-31	19.90	31.20	56.78%
2003-12-31	31.60	32.52	2.91%
2004-12-30	32.40	43.45	34.1%
2005-12-30	43.10	61.04	41.62%
2006-12-29	61.04	61.05	0.02%
2007-12-31	60.98	95.98	57.4%
2008-12-31	96.05	44.60	-53.57%
2009-12-31	43.72	79.36	81.52%
2010-12-31	79.76	91.38	14.57%
2011-12-30	91.31	99.06	8.49%
2012-12-31	99.70	91.79	-7.93%
2013-12-31	91.78	98.70	7.54%
2014-12-31	98.50	53.71	-45.47%
2015-12-31	53.90	37.07	-31.22%
2016-12-30	37.60	53.89	43.32%
2017-12-29	54.20	60.10	10.89%
2018-12-31	59.91	45.81	-23.54%
2019-11-07	45.80	57.09	24.65%
