2005-12-30	1108.61	1045.96	-5.65%
2006-12-29	1047.91	2185.18	108.53%
2007-12-28	2207.95	6639.81	200.72%
2008-12-31	6653.05	2459.22	-63.04%
2009-12-31	2489.48	5236.32	110.34%
2010-12-31	5265.16	4427.00	-15.92%
2011-12-30	4463.66	3188.63	-28.56%
2012-12-31	3208.18	3255.43	1.47%
2013-12-31	3302.79	2990.86	-9.44%
2014-12-31	2980.23	4598.06	54.29%
2015-12-31	4652.14	5414.61	16.39%
2016-12-30	5405.52	5238.95	-3.08%
2017-12-29	5259.50	7428.36	41.24%
2018-12-28	7471.96	5553.67	-25.67%
2019-11-07	5576.71	7969.92	42.91%
