code	display_name	date	weight
002277.XSHE	友阿股份	2018-09-30	0.126
002276.XSHE	万马股份	2018-09-30	0.1
002273.XSHE	水晶光电	2018-09-30	0.241
600258.XSHG	首旅酒店	2018-09-30	0.274
002573.XSHE	清新环境	2018-09-30	0.224
000156.XSHE	华数传媒	2018-09-30	0.144
002375.XSHE	亚厦股份	2018-09-30	0.107
000158.XSHE	常山北明	2018-09-30	0.108
000090.XSHE	天健集团	2018-09-30	0.128
002371.XSHE	北方华创	2018-09-30	0.29
600895.XSHG	张江高科	2018-09-30	0.235
600729.XSHG	重庆百货	2018-09-30	0.213
601717.XSHG	郑煤机	2018-09-30	0.168
002051.XSHE	中工国际	2018-09-30	0.258
002056.XSHE	横店东磁	2018-09-30	0.168
603198.XSHG	迎驾贡酒	2018-09-30	0.109
300253.XSHE	卫宁健康	2018-09-30	0.441
002118.XSHE	紫鑫药业	2018-09-30	0.085
300257.XSHE	开山股份	2018-09-30	0.124
002110.XSHE	三钢闽光	2018-09-30	0.376
000021.XSHE	深科技	2018-09-30	0.139
600098.XSHG	广州发展	2018-09-30	0.151
000025.XSHE	特力A	2018-09-30	0.044
000027.XSHE	深圳能源	2018-09-30	0.188
000028.XSHE	国药一致	2018-09-30	0.212
002280.XSHE	联络互动	2018-09-30	0.201
002281.XSHE	光迅科技	2018-09-30	0.305
600094.XSHG	大名城	2018-09-30	0.228
603228.XSHG	景旺电子	2018-09-30	0.141
600655.XSHG	豫园股份	2018-09-30	0.25
600657.XSHG	信达地产	2018-09-30	0.098
600651.XSHG	飞乐音响	2018-09-30	0.08
002640.XSHE	跨境通	2018-09-30	0.265
601311.XSHG	骆驼股份	2018-09-30	0.143
000536.XSHE	华映科技	2018-09-30	0.103
600073.XSHG	上海梅林	2018-09-30	0.131
000926.XSHE	福星股份	2018-09-30	0.168
600079.XSHG	人福医药	2018-09-30	0.338
002022.XSHE	科华生物	2018-09-30	0.141
002690.XSHE	美亚光电	2018-09-30	0.174
002028.XSHE	思源电气	2018-09-30	0.236
300088.XSHE	长信科技	2018-09-30	0.311
600380.XSHG	健康元	2018-09-30	0.237
600388.XSHG	龙净环保	2018-09-30	0.237
603355.XSHG	莱克电气	2018-09-30	0.065
600478.XSHG	科力远	2018-09-30	0.127
600572.XSHG	康恩贝	2018-09-30	0.277
600575.XSHG	皖江物流	2018-09-30	0.191
600578.XSHG	京能电力	2018-09-30	0.127
600350.XSHG	山东高速	2018-09-30	0.086
600201.XSHG	生物股份	2018-09-30	0.54
000990.XSHE	诚志股份	2018-09-30	0.108
000997.XSHE	新大陆	2018-09-30	0.301
000999.XSHE	华润三九	2018-09-30	0.314
600936.XSHG	广西广电	2018-09-30	0.162
000860.XSHE	顺鑫农业	2018-09-30	0.514
601001.XSHG	大同煤业	2018-09-30	0.119
601000.XSHG	唐山港	2018-09-30	0.22
600270.XSHG	外运发展	2018-09-30	0.22
600277.XSHG	亿利洁能	2018-09-30	0.222
000848.XSHE	承德露露	2018-09-30	0.149
002332.XSHE	仙琚制药	2018-09-30	0.143
002233.XSHE	塔牌集团	2018-09-30	0.182
300308.XSHE	中际旭创	2018-09-30	0.133
000661.XSHE	长春高新	2018-09-30	0.954
000667.XSHE	美好置业	2018-09-30	0.175
600859.XSHG	王府井	2018-09-30	0.152
601678.XSHG	滨化股份	2018-09-30	0.183
601179.XSHG	中国西电	2018-09-30	0.212
603077.XSHG	和邦生物	2018-09-30	0.285
000690.XSHE	宝新能源	2018-09-30	0.372
002807.XSHE	江阴银行	2018-09-30	0.15
002489.XSHE	浙江永强	2018-09-30	0.097
002482.XSHE	广田集团	2018-09-30	0.109
600580.XSHG	卧龙电气	2018-09-30	0.147
000066.XSHE	中国长城	2018-09-30	0.346
600582.XSHG	天地科技	2018-09-30	0.189
000061.XSHE	农产品	2018-09-30	0.106
000062.XSHE	深圳华强	2018-09-30	0.126
002249.XSHE	大洋电机	2018-09-30	0.154
002244.XSHE	滨江集团	2018-09-30	0.205
002242.XSHE	九阳股份	2018-09-30	0.154
600611.XSHG	大众交通	2018-09-30	0.129
600614.XSHG	鹏起科技	2018-09-30	0.14
600618.XSHG	氯碱化工	2018-09-30	0.051
