	名称	代码	市值（亿元）	涨跌幅	pe	pb	一级行业代码	一级行业名称	二级行业代码	二级行业名称	持有市值（元）	日盈亏	相关指数
0	中国平安	601318.XSHG	15428.5234	-1.33%	9.79	2.41	801790	非银金融I	801194	保险II	11237.93	-149.46	上证50,沪深300,300价值,养老产业,金融地产
1	恒瑞医药	600276.XSHG	3966.3799	-5.24%	81.14	17.13	801150	医药生物I	801151	化学制药II	11025.91	-577.76	上证50,沪深300,养老产业,全指医药
2	东方财富	300059.XSHE	924.0678	0.44%	59.53	4.45	801760	传媒I	801752	互联网传媒II	7494.03	32.97	沪深300,创业板,养老产业,中证传媒
3	中信证券	600030.XSHG	2606.3469	-0.05%	20.69	1.63	801790	非银金融I	801193	证券II	6697.39	-3.35	上证50,沪深300,证券公司,金融地产
4	招商银行	600036.XSHG	9238.0293	-1.39%	10.22	1.64	801780	银行I	801192	银行II	5564.46	-77.35	上证50,沪深300,300价值,中证红利,金融地产
5	兴业银行	601166.XSHG	3940.864	-0.37%	6.07	0.83	801780	银行I	801192	银行II	4622.8	-17.1	上证50,沪深300,300价值,中证红利,金融地产
6	海通证券	600837.XSHG	1578.0332	0.15%	17.52	1.27	801790	非银金融I	801193	证券II	4618.38	6.93	上证50,沪深300,证券公司,金融地产
7	分众传媒	002027.XSHE	821.9613	0.0%	34.63	6.1	801760	传媒I	801751	营销传播II	4590.45	0.0	沪深300,基本面60,基本面120,中证传媒
8	温氏股份	300498.XSHE	1903.8655	-0.7%	26.66	5.12	801010	农林牧渔I	801017	畜禽养殖II	4107.48	-28.75	沪深300,基本面60,基本面120,创业板
9	贵州茅台	600519.XSHG	14770.374	-4.0%	36.09	11.79	801120	食品饮料I	801123	饮料制造II	4101.43	-164.06	上证50,沪深300
10	启明星辰	002439.XSHE	273.0429	0.92%	49.85	7.68	801750	计算机I	801222	计算机应用II	4002.25	36.82	中证500,养老产业,中证传媒
11	爱尔眼科	300015.XSHE	1295.5048	-4.83%	96.32	20.1	801150	医药生物I	801156	医疗服务II	3907.67	-188.74	沪深300,创业板,养老产业,全指医药
12	中国神华	601088.XSHG	3428.9707	-0.06%	7.51	0.99	801020	采掘I	801021	煤炭开采II	3828.03	-2.3	上证50,沪深300,300价值,中证红利
13	长春高新	000661.XSHE	788.8616	-6.2%	56.01	12.3	801150	医药生物I	801152	生物制品II	3546.92	-219.91	沪深300,养老产业,全指医药
14	光环新网	300383.XSHE	293.8206	-0.26%	36.56	3.61	801770	通信I	801102	通信设备II	3512.54	-9.13	中证500,创业板,养老产业,中证传媒
15	国泰君安	601211.XSHG	1481.3918	0.48%	19.13	1.24	801790	非银金融I	801193	证券II	3206.09	15.39	上证50,沪深300,300价值,证券公司,金融地产
16	生益科技	600183.XSHG	519.1992	1.89%	42.12	6.24	801080	电子I	801083	元件II	3199.55	60.47	中证500,中证红利
17	沃森生物	300142.XSHE	472.4544	-1.99%	43.93	9.79	801150	医药生物I	801152	生物制品II	3199.34	-63.67	沪深300,创业板,养老产业,全指医药
18	乐普医疗	300003.XSHE	601.6642	-4.68%	35.66	8.06	801150	医药生物I	801153	医疗器械II	3070.74	-143.71	沪深300,创业板,养老产业,全指医药
19	新希望	000876.XSHE	881.1471	-2.49%	26.5	3.66	801010	农林牧渔I	801014	饲料II	2937.39	-73.14	沪深300,基本面60,基本面120,中证红利
20	交通银行	601328.XSHG	4114.1553	0.0%	5.38	0.61	801780	银行I	801192	银行II	2903.2	0.0	上证50,沪深300,300价值,中证红利,金融地产
21	新和成	002001.XSHE	459.8137	-0.61%	20.46	2.8	801150	医药生物I	801151	化学制药II	2831.69	-17.27	沪深300,基本面120,中证红利,养老产业,全指医药
22	二三四五	002195.XSHE	172.5358	0.67%	16.95	1.73	801750	计算机I	801222	计算机应用II	2804.4	18.79	中证500,养老产业,中证传媒
23	江铃汽车	000550.XSHE	124.2165	-0.63%	404.36	1.18	801880	汽车I	801094	汽车整车II	2803.69	-17.66	基本面120,中证1000,中证红利
24	农业银行	601288.XSHG	12739.3828	0.27%	6.01	0.74	801780	银行I	801192	银行II	2803.66	7.57	上证50,沪深300,300价值,中证红利,金融地产
