	code	name	market_cap	weight
0	000011.XSHE	深物业A	69.5508	0.047
1	000016.XSHE	深康佳A	134.6041	0.157
2	000018.XSHE	神州长城	45.8526	0.049
3	000030.XSHE	富奥股份	93.7866	0.092
4	000034.XSHE	神州数码	103.1469	0.13
5	000035.XSHE	中国天楹	127.0582	0.128
6	000036.XSHE	华联控股	84.6984	0.149
7	000038.XSHE	深大通	68.6407	0.052
8	000040.XSHE	东旭蓝天	134.7108	0.237
9	000043.XSHE	中航善达	58.5592	0.074
10	000055.XSHE	方大集团	76.9518	0.094
11	000056.XSHE	皇庭国际	68.5226	0.055
12	000058.XSHE	深赛格	88.7201	0.054
13	000059.XSHE	华锦股份	112.2809	0.17
14	000065.XSHE	北方国际	86.1077	0.087
15	000070.XSHE	特发信息	91.165	0.115
16	000088.XSHE	盐田港	130.9043	0.132
17	000150.XSHE	宜华健康	77.4255	0.097
18	000151.XSHE	中成股份	39.7205	0.06
19	000155.XSHE	川能动力	60.833	0.092
20	000301.XSHE	东方盛虹	241.7432	0.183
21	000404.XSHE	长虹华意	33.3382	0.059
22	000407.XSHE	胜利股份	41.54	0.084
23	000429.XSHE	粤高速A	189.8452	0.12
24	000498.XSHE	山东路桥	68.1045	0.069
25	000506.XSHE	中润资源	33.5375	0.059
26	000507.XSHE	珠海港	62.4527	0.126
27	000514.XSHE	渝开发	41.6823	0.042
28	000516.XSHE	国际医学	120.4311	0.243
29	000517.XSHE	荣安地产	101.5671	0.051
30	000520.XSHE	长航凤凰	39.9773	0.101
31	000525.XSHE	红太阳	88.8002	0.089
32	000532.XSHE	华金资本	42.0199	0.063
33	000533.XSHE	顺钠股份	24.4549	0.043
34	000544.XSHE	中原环保	60.5279	0.061
35	000545.XSHE	金浦钛业	38.2891	0.068
36	000546.XSHE	金圆股份	71.25	0.108
37	000550.XSHE	江铃汽车	195.8633	0.119
38	000555.XSHE	神州信息	126.4985	0.127
39	000558.XSHE	莱茵体育	58.5308	0.074
40	000560.XSHE	我爱我家	171.4805	0.173
41	000561.XSHE	烽火电子	45.2369	0.057
42	000571.XSHE	新大洲A	28.248	0.071
43	000576.XSHE	广东甘化	42.6918	0.065
44	000582.XSHE	北部湾港	153.3271	0.116
45	000584.XSHE	哈工智能	55.9352	0.099
46	000591.XSHE	太阳能	124.4939	0.219
47	000592.XSHE	平潭发展	75.5326	0.152
48	000601.XSHE	韶能股份	50.2457	0.076
49	000603.XSHE	盛达矿业	74.0337	0.112
50	000615.XSHE	京汉股份	60.4746	0.091
