	code	name	market_cap	weight
0	000166.XSHE	申万宏源	1243.9841	3.294
1	000686.XSHE	东北证券	238.2581	1.262
2	000712.XSHE	锦龙股份	128.2176	0.566
3	000728.XSHE	国元证券	351.6892	1.863
4	000750.XSHE	国海证券	259.6774	1.604
5	000776.XSHE	广发证券	1232.33	4.224
6	000783.XSHE	长江证券	416.3698	2.573
7	000987.XSHE	越秀金控	301.7162	0.266
8	002500.XSHE	山西证券	271.2747	1.437
9	002670.XSHE	国盛金控	289.6822	1.023
10	002673.XSHE	西部证券	403.7621	1.782
11	002736.XSHE	国信证券	1110.28	2.94
12	002797.XSHE	第一创业	275.2886	1.458
13	002926.XSHE	华西证券	323.6625	0.571
14	600030.XSHG	中信证券	3002.5698	15.779
15	600061.XSHG	国投资本	614.2019	1.084
16	600109.XSHG	国金证券	324.8162	2.294
17	600155.XSHG	华创阳安	220.2279	0.583
18	600369.XSHG	西南证券	312.1745	1.378
19	600621.XSHG	华鑫股份	167.516	0.591
20	600837.XSHG	海通证券	1613.6885	10.021
21	600909.XSHG	华安证券	258.9015	1.143
22	600958.XSHG	东方证券	833.6438	3.767
23	600999.XSHG	招商证券	1173.7365	4.422
24	601066.XSHG	中信建投	1953.6514	1.008
25	601099.XSHG	太平洋	288.3302	2.545
26	601108.XSHG	财通证券	473.3891	0.46
27	601198.XSHG	东兴证券	380.5986	1.68
28	601211.XSHG	国泰君安	1755.8594	8.021
29	601375.XSHG	中原证券	243.7515	0.595
30	601377.XSHG	兴业证券	485.5087	3.0
31	601555.XSHG	东吴证券	303.6	2.144
32	601688.XSHG	华泰证券	1849.1611	6.461
33	601788.XSHG	光大证券	606.7797	2.269
34	601878.XSHG	浙商证券	387.0	1.366
35	601881.XSHG	中国银河	1199.2377	1.346
36	601901.XSHG	方正证券	632.2254	2.79
37	601990.XSHG	南京证券	405.2055	0.393
