	code	name	market_cap	weight
0	000001.XSHE	平安银行	2201.2466	2.219
1	000002.XSHE	万科A	3391.2275	3.012
2	000006.XSHE	深振业A	91.1247	0.129
3	000011.XSHE	深物业A	69.5508	0.037
4	000031.XSHE	大悦城	257.5371	0.156
5	000036.XSHE	华联控股	84.6984	0.12
6	000042.XSHE	中洲控股	84.1011	0.068
7	000046.XSHE	泛海控股	380.8815	0.23
8	000056.XSHE	皇庭国际	68.5226	0.044
9	000069.XSHE	华侨城A	631.7143	0.637
10	000166.XSHE	申万宏源	1243.9841	0.752
11	000402.XSHE	金融街	256.4502	0.207
12	000517.XSHE	荣安地产	101.5671	0.041
13	000537.XSHE	广宇发展	171.5382	0.104
14	000560.XSHE	我爱我家	171.4805	0.138
15	000563.XSHE	陕国投A	210.0927	0.212
16	000620.XSHE	新华联	89.1444	0.09
17	000627.XSHE	天茂集团	336.9509	0.204
18	000631.XSHE	顺发恒业	88.5437	0.054
19	000656.XSHE	金科股份	389.7993	0.393
20	000671.XSHE	阳光城	338.1811	0.273
21	000686.XSHE	东北证券	238.2581	0.288
22	000712.XSHE	锦龙股份	128.2176	0.129
23	000718.XSHE	苏宁环球	123.2062	0.124
24	000728.XSHE	国元证券	351.6892	0.425
25	000732.XSHE	泰禾集团	235.699	0.19
26	000750.XSHE	国海证券	259.6774	0.367
27	000776.XSHE	广发证券	1232.33	0.965
28	000783.XSHE	长江证券	416.3698	0.588
29	000797.XSHE	中国武夷	74.9349	0.076
30	000882.XSHE	华联股份	79.3832	0.096
31	000918.XSHE	嘉凯城	139.1032	0.112
32	000926.XSHE	福星股份	75.0721	0.121
33	000961.XSHE	中南建设	352.4299	0.355
34	000987.XSHE	越秀金控	301.7162	0.061
35	001979.XSHE	招商蛇口	1821.1029999999998	1.102
36	002016.XSHE	世荣兆业	86.0069	0.052
37	002142.XSHE	宁波银行	1106.2972	1.115
38	002146.XSHE	荣盛发展	489.1684	0.395
39	002147.XSHE	ST新光	58.8641	0.047
40	002244.XSHE	滨江集团	147.1713	0.148
41	002285.XSHE	世联行	123.3954	0.149
42	002314.XSHE	南山控股	105.06200000000001	0.064
43	002500.XSHE	山西证券	271.2747	0.328
44	002647.XSHE	仁东控股	78.4471	0.063
45	002670.XSHE	国盛金控	289.6822	0.234
46	002673.XSHE	西部证券	403.7621	0.407
47	002736.XSHE	国信证券	1110.28	0.672
48	002797.XSHE	第一创业	275.2886	0.333
49	002807.XSHE	江阴银行	112.0549	0.113
50	002839.XSHE	张家港行	124.5386	0.126
51	002926.XSHE	华西证券	323.6625	0.131
52	600000.XSHG	浦发银行	3310.9148	2.67
53	600015.XSHG	华夏银行	1269.4460000000001	1.024
