2004-12-31	997.00	842.73	-15.47%
2005-12-30	836.99	796.40	-4.85%
2006-12-29	801.41	1805.31	125.27%
2007-12-28	1842.63	4226.76	129.39%
2008-12-31	4230.81	1384.91	-67.27%
2009-12-31	1411.08	2553.80	80.98%
2010-12-31	2565.11	1977.37	-22.91%
2011-12-30	1994.36	1617.61	-18.89%
2012-12-31	1628.17	1857.68	14.1%
2013-12-31	1885.96	1574.78	-16.5%
2014-12-31	1570.05	2581.57	64.43%
2015-12-31	2612.85	2420.80	-7.35%
2016-12-30	2417.03	2286.90	-5.38%
2017-12-29	2285.27	2860.44	25.17%
2018-12-28	2867.53	2293.10	-20.03%
2019-11-07	2298.18	3033.30	31.99%
