我的S定投计划	总市值	15308.12	累计收益	308.12
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
建信中证500指数增强A	000478	1.9107	1046.73	2036.94	36.94
富国中证红利指数增强	100032	1.0954	1825.9	2001.19	1.19
华夏上证50ETF联接A	001051	0.9441	1059.17	1055.99	55.99
华夏中证500ETF联接A	001052	0.5517	1812.7	993.36	-6.64
广发中证传媒ETF联接A	004752	0.815	1227.03	930.58	-69.42
华安黄金易ETF联接A	000216	1.0902	1834.47	2234.2	234.2
交银中证海外中国互联网指数	164906	1.1113	899.82	1172.47	172.47
华夏恒生ETF联接A	000071	1.4513	689.02	1017.96	17.96
华宝标普石油指数	162411	0.4204	4757.9	1736.63	-263.37
华安德国30(DAX)联接	000614	1.0483	953.96	1126.63	126.63
易方达安心债券A	110027	1.6793	595.47	1002.18	2.18
