10万补充ETF计划	总市值	36178.6	累计收益	360.7
基金名称	基金代码	持仓成本	持仓份额	持仓市值	累计收益
建信中证500指数增强A	000478	1.9252	4157.52	8090.53	86.53
广发中证环保ETF联接A	001064	0.5489	9722	5321.82	-14.18
广发养老指数A	000968	0.9444	4943.96	4646.83	-22.17
华夏中证500ETF联接A	001052	0.5423	7379.54	4043.99	41.99
富国中证红利指数增强	100032	1.0919	3665.01	4016.85	14.85
广发中证传媒ETF联接A	004752	0.7329	4550.55	3451.14	116.14
易方达创业板ETF联接A	110026	1.6649	400.63	695.17	28.17
广发创业板ETF联接A	003765	0.9059	736.3	694.48	27.48
易方达证券公司分级	502010	0.9853	473.85	463.14	-3.76
华宝标普石油指数	162411	0.3775	5299.96	1934.49	-66.51
交银中证海外中国互联网指数	164906	1.1564	576.8	751.57	84.57
华夏恒生ETF联接A	000071	1.451	459.67	679.12	12.12
华安德国30(DAX)联接	000614	1.0903	611.75	722.48	55.48
