2018/10/24	75.0	15.87	1.3	565.0	18.43	1.75	962.0	22.24	1.73	595.0	18.87	1.61	222.0	25.63	2.03	292.0	23.7	2.26	234.0	11.45	1.18	589.0	30.16	2.27	108.0	20.33	1.23	
2018/10/25	75.0	15.76	1.3	565.0	18.24	1.74	962.0	21.99	1.72	595.0	18.74	1.6	222.0	25.04	2.01	292.0	23.38	2.25	234.0	11.69	1.2	589.0	29.66	2.25	108.0	20.28	1.22	
2018/10/26	75.0	15.91	1.32	565.0	18.25	1.75	962.0	22.19	1.72	595.0	18.92	1.61	222.0	25.06	2.01	292.0	23.67	2.25	235.0	11.94	1.21	589.0	29.83	2.26	108.0	20.28	1.24	
2018/10/29	75.0	15.45	1.28	565.0	17.93	1.71	962.0	21.96	1.7	595.0	18.59	1.58	222.0	24.41	1.95	292.0	23.31	2.2	235.0	11.54	1.19	589.0	29.43	2.22	108.0	20.08	1.23	
2018/10/30	75.0	15.56	1.3	565.0	17.93	1.72	962.0	22.14	1.71	595.0	18.75	1.59	222.0	24.69	1.97	292.0	23.97	2.21	235.0	11.74	1.21	589.0	29.82	2.24	108.0	19.75	1.24	
2018/10/31	75.0	15.34	1.31	565.0	18.0	1.76	962.0	22.45	1.73	595.0	18.95	1.61	222.0	24.87	2.0	292.0	24.44	2.25	235.0	11.75	1.2	589.0	30.12	2.27	108.0	20.1	1.25	
2018/11/01	75.0	15.24	1.31	565.0	17.99	1.76	962.0	22.55	1.74	595.0	19.04	1.62	222.0	25.02	2.01	292.0	24.58	2.27	235.0	11.76	1.21	589.0	30.54	2.3	108.0	20.09	1.25	
2018/11/02	75.0	15.53	1.33	565.0	18.54	1.8	961.0	23.15	1.78	595.0	19.56	1.66	222.0	25.87	2.06	292.0	25.4	2.34	235.0	12.0	1.23	589.0	31.65	2.37	109.0	20.69	1.27	
2018/11/05	75.0	15.66	1.35	565.0	18.56	1.82	961.0	23.35	1.8	595.0	19.66	1.67	222.0	25.91	2.07	292.0	25.46	2.35	235.0	12.05	1.25	589.0	31.82	2.39	109.0	20.89	1.29	
2018/11/06	75.0	15.61	1.34	565.0	18.51	1.82	961.0	23.29	1.8	595.0	19.65	1.68	222.0	25.88	2.07	292.0	25.44	2.35	235.0	12.12	1.25	589.0	31.66	2.38	109.0	20.89	1.29	
2018/11/07	75.0	15.43	1.33	565.0	18.41	1.81	961.0	23.18	1.79	595.0	19.59	1.67	222.0	25.83	2.07	292.0	25.39	2.35	235.0	12.01	1.24	590.0	31.55	2.38	109.0	20.79	1.29	
2018/11/08	75.0	15.43	1.33	565.0	18.32	1.81	961.0	23.1	1.79	595.0	19.52	1.67	222.0	25.87	2.07	292.0	25.34	2.35	235.0	11.97	1.24	590.0	31.27	2.37	109.0	20.72	1.29	
2018/11/09	75.0	15.24	1.32	565.0	18.24	1.8	962.0	23.05	1.79	595.0	19.47	1.67	222.0	25.77	2.06	292.0	25.28	2.34	235.0	11.89	1.23	590.0	31.36	2.37	109.0	20.66	1.28	
2018/11/12	75.0	15.52	1.35	565.0	18.68	1.85	962.0	23.72	1.84	595.0	20.05	1.72	222.0	26.36	2.11	292.0	26.01	2.41	235.0	12.1	1.26	590.0	32.49	2.46	109.0	21.21	1.33	
2018/11/13	75.0	15.69	1.37	565.0	18.94	1.89	962.0	24.12	1.88	595.0	20.5	1.77	222.0	26.87	2.16	292.0	26.47	2.46	235.0	12.3	1.29	590.0	33.01	2.51	109.0	21.58	1.36	
2018/11/14	75.0	15.61	1.36	564.0	18.95	1.89	963.0	24.09	1.88	595.0	20.46	1.77	222.0	26.78	2.16	292.0	26.51	2.46	235.0	12.26	1.29	590.0	33.03	2.51	109.0	21.58	1.36	
2018/11/15	75.0	15.79	1.37	564.0	19.22	1.92	963.0	24.56	1.92	595.0	20.83	1.8	222.0	27.12	2.19	292.0	26.95	2.5	235.0	12.44	1.31	591.0	33.87	2.57	109.0	21.91	1.37	
2018/11/16	75.0	15.78	1.38	564.0	19.3	1.93	963.0	24.83	1.94	595.0	21.08	1.82	222.0	27.28	2.2	292.0	27.1	2.52	236.0	12.65	1.33	591.0	34.24	2.6	109.0	22.05	1.39	
2018/11/19	75.0	15.85	1.38	563.0	19.4	1.94	963.0	25.02	1.95	596.0	21.15	1.82	222.0	27.37	2.21	292.0	27.07	2.53	236.0	12.96	1.36	591.0	34.13	2.59	109.0	22.26	1.4	
2018/11/20	75.0	15.44	1.35	563.0	18.86	1.89	963.0	24.35	1.9	596.0	20.58	1.78	222.0	26.63	2.15	292.0	26.33	2.45	236.0	12.57	1.31	591.0	33.14	2.52	109.0	21.58	1.35	
2018/11/21	75.0	15.38	1.34	563.0	18.93	1.9	963.0	24.57	1.92	596.0	20.72	1.79	222.0	26.91	2.17	292.0	26.64	2.49	236.0	12.65	1.32	591.0	33.39	2.54	109.0	21.68	1.36	
2018/11/22	75.0	15.4	1.34	563.0	18.87	1.9	963.0	24.58	1.92	596.0	20.82	1.8	222.0	26.94	2.17	292.0	26.95	2.51	236.0	12.58	1.31	591.0	33.39	2.54	109.0	21.71	1.36	
2018/11/23	75.0	14.79	1.29	563.0	18.05	1.81	963.0	23.56	1.83	596.0	19.9	1.72	222.0	25.98	2.08	292.0	25.95	2.41	236.0	12.12	1.26	591.0	31.8	2.42	109.0	20.88	1.31	
2018/11/26	75.0	14.58	1.27	563.0	17.89	1.81	963.0	23.52	1.83	596.0	19.85	1.71	222.0	25.81	2.08	292.0	25.85	2.4	236.0	12.12	1.26	591.0	31.74	2.42	109.0	20.94	1.31	
